season,date,home,away,link,stats_link
2018-19,Saturday 30th March,Barcelona,Espanyol,https://www.skysports.com/football/barcelona-vs-espanyol/399585,https://www.skysports.com/football/barcelona-vs-espanyol/stats/399585
2018-19,Saturday 30th March,Celta Vigo,Villarreal,https://www.skysports.com/football/celta-vigo-vs-villarreal/399586,https://www.skysports.com/football/celta-vigo-vs-villarreal/stats/399586
2018-19,Saturday 30th March,Alaves,Atletico Madrid,https://www.skysports.com/football/alaves-vs-atletico-madrid/399584,https://www.skysports.com/football/alaves-vs-atletico-madrid/stats/399584
2018-19,Friday 29th March,Girona,Athletic Bilbao,https://www.skysports.com/football/girona-vs-athletic-bilbao/399588,https://www.skysports.com/football/girona-vs-athletic-bilbao/stats/399588
2018-19,Sunday 17th March,Eibar,Real Valladolid,https://www.skysports.com/football/eibar-vs-real-valladolid/399575,https://www.skysports.com/football/eibar-vs-real-valladolid/stats/399575
2018-19,Sunday 17th March,Espanyol,Sevilla,https://www.skysports.com/football/espanyol-vs-sevilla/399576,https://www.skysports.com/football/espanyol-vs-sevilla/stats/399576
2018-19,Sunday 17th March,Valencia,Getafe,https://www.skysports.com/football/valencia-vs-getafe/399582,https://www.skysports.com/football/valencia-vs-getafe/stats/399582
2018-19,Sunday 17th March,Villarreal,Rayo Vallecano,https://www.skysports.com/football/villarreal-vs-rayo-vallecano/399583,https://www.skysports.com/football/villarreal-vs-rayo-vallecano/stats/399583
2018-19,Sunday 17th March,Real Betis,Barcelona,https://www.skysports.com/football/real-betis-vs-barcelona/399579,https://www.skysports.com/football/real-betis-vs-barcelona/stats/399579
2018-19,Saturday 16th March,SD Huesca,Alaves,https://www.skysports.com/football/sd-huesca-vs-alaves/399577,https://www.skysports.com/football/sd-huesca-vs-alaves/stats/399577
2018-19,Saturday 16th March,Real Madrid,Celta Vigo,https://www.skysports.com/football/real-madrid-vs-celta-vigo/399580,https://www.skysports.com/football/real-madrid-vs-celta-vigo/stats/399580
2018-19,Saturday 16th March,Athletic Bilbao,Atletico Madrid,https://www.skysports.com/football/athletic-bilbao-vs-atletico-madrid/399574,https://www.skysports.com/football/athletic-bilbao-vs-atletico-madrid/stats/399574
2018-19,Saturday 16th March,Leganes,Girona,https://www.skysports.com/football/leganes-vs-girona/399578,https://www.skysports.com/football/leganes-vs-girona/stats/399578
2018-19,Friday 15th March,Real Sociedad,Levante,https://www.skysports.com/football/real-sociedad-vs-levante/399581,https://www.skysports.com/football/real-sociedad-vs-levante/stats/399581
2018-19,Sunday 10th March,Celta Vigo,Real Betis,https://www.skysports.com/football/celta-vigo-vs-real-betis/399568,https://www.skysports.com/football/celta-vigo-vs-real-betis/stats/399568
2018-19,Sunday 10th March,Girona,Valencia,https://www.skysports.com/football/girona-vs-valencia/399570,https://www.skysports.com/football/girona-vs-valencia/stats/399570
2018-19,Sunday 10th March,Levante,Villarreal,https://www.skysports.com/football/levante-vs-villarreal/399571,https://www.skysports.com/football/levante-vs-villarreal/stats/399571
2018-19,Sunday 10th March,Sevilla,Real Sociedad,https://www.skysports.com/football/sevilla-vs-real-sociedad/399573,https://www.skysports.com/football/sevilla-vs-real-sociedad/stats/399573
2018-19,Sunday 10th March,Real Valladolid,Real Madrid,https://www.skysports.com/football/real-valladolid-vs-real-madrid/399572,https://www.skysports.com/football/real-valladolid-vs-real-madrid/stats/399572
2018-19,Saturday 9th March,Alaves,Eibar,https://www.skysports.com/football/alaves-vs-eibar/399564,https://www.skysports.com/football/alaves-vs-eibar/stats/399564
2018-19,Saturday 9th March,Atletico Madrid,Leganes,https://www.skysports.com/football/atletico-madrid-vs-leganes/399566,https://www.skysports.com/football/atletico-madrid-vs-leganes/stats/399566
2018-19,Saturday 9th March,Barcelona,Rayo Vallecano,https://www.skysports.com/football/barcelona-vs-rayo-vallecano/399567,https://www.skysports.com/football/barcelona-vs-rayo-vallecano/stats/399567
2018-19,Saturday 9th March,Getafe,SD Huesca,https://www.skysports.com/football/getafe-vs-sd-huesca/399569,https://www.skysports.com/football/getafe-vs-sd-huesca/stats/399569
2018-19,Friday 8th March,Athletic Bilbao,Espanyol,https://www.skysports.com/football/athletic-bilbao-vs-espanyol/399565,https://www.skysports.com/football/athletic-bilbao-vs-espanyol/stats/399565
2018-19,Monday 4th March,Leganes,Levante,https://www.skysports.com/football/leganes-vs-levante/399557,https://www.skysports.com/football/leganes-vs-levante/stats/399557
2018-19,Sunday 3rd March,Eibar,Celta Vigo,https://www.skysports.com/football/eibar-vs-celta-vigo/399554,https://www.skysports.com/football/eibar-vs-celta-vigo/stats/399554
2018-19,Sunday 3rd March,Real Betis,Getafe,https://www.skysports.com/football/real-betis-vs-getafe/399559,https://www.skysports.com/football/real-betis-vs-getafe/stats/399559
2018-19,Sunday 3rd March,Real Sociedad,Atletico Madrid,https://www.skysports.com/football/real-sociedad-vs-atletico-madrid/399561,https://www.skysports.com/football/real-sociedad-vs-atletico-madrid/stats/399561
2018-19,Sunday 3rd March,Valencia,Athletic Bilbao,https://www.skysports.com/football/valencia-vs-athletic-bilbao/399562,https://www.skysports.com/football/valencia-vs-athletic-bilbao/stats/399562
2018-19,Saturday 2nd March,Espanyol,Real Valladolid,https://www.skysports.com/football/espanyol-vs-real-valladolid/399555,https://www.skysports.com/football/espanyol-vs-real-valladolid/stats/399555
2018-19,Saturday 2nd March,Villarreal,Alaves,https://www.skysports.com/football/villarreal-vs-alaves/399563,https://www.skysports.com/football/villarreal-vs-alaves/stats/399563
2018-19,Saturday 2nd March,SD Huesca,Sevilla,https://www.skysports.com/football/sd-huesca-vs-sevilla/399556,https://www.skysports.com/football/sd-huesca-vs-sevilla/stats/399556
2018-19,Saturday 2nd March,Real Madrid,Barcelona,https://www.skysports.com/football/real-madrid-vs-barcelona/399560,https://www.skysports.com/football/real-madrid-vs-barcelona/stats/399560
2018-19,Friday 1st March,Rayo Vallecano,Girona,https://www.skysports.com/football/rayo-vallecano-vs-girona/399558,https://www.skysports.com/football/rayo-vallecano-vs-girona/stats/399558
2018-19,Monday 25th February,Girona,Real Sociedad,https://www.skysports.com/football/girona-vs-real-sociedad/399549,https://www.skysports.com/football/girona-vs-real-sociedad/stats/399549
2018-19,Sunday 24th February,Leganes,Valencia,https://www.skysports.com/football/leganes-vs-valencia/399550,https://www.skysports.com/football/leganes-vs-valencia/stats/399550
2018-19,Sunday 24th February,Atletico Madrid,Villarreal,https://www.skysports.com/football/atletico-madrid-vs-villarreal/399546,https://www.skysports.com/football/atletico-madrid-vs-villarreal/stats/399546
2018-19,Sunday 24th February,Real Valladolid,Real Betis,https://www.skysports.com/football/real-valladolid-vs-real-betis/399552,https://www.skysports.com/football/real-valladolid-vs-real-betis/stats/399552
2018-19,Sunday 24th February,Levante,Real Madrid,https://www.skysports.com/football/levante-vs-real-madrid/399551,https://www.skysports.com/football/levante-vs-real-madrid/stats/399551
2018-19,Saturday 23rd February,Getafe,Rayo Vallecano,https://www.skysports.com/football/getafe-vs-rayo-vallecano/399548,https://www.skysports.com/football/getafe-vs-rayo-vallecano/stats/399548
2018-19,Saturday 23rd February,Sevilla,Barcelona,https://www.skysports.com/football/sevilla-vs-barcelona/399553,https://www.skysports.com/football/sevilla-vs-barcelona/stats/399553
2018-19,Saturday 23rd February,Alaves,Celta Vigo,https://www.skysports.com/football/alaves-vs-celta-vigo/399544,https://www.skysports.com/football/alaves-vs-celta-vigo/stats/399544
2018-19,Saturday 23rd February,Athletic Bilbao,Eibar,https://www.skysports.com/football/athletic-bilbao-vs-eibar/399545,https://www.skysports.com/football/athletic-bilbao-vs-eibar/stats/399545
2018-19,Friday 22nd February,Espanyol,SD Huesca,https://www.skysports.com/football/espanyol-vs-sd-huesca/399547,https://www.skysports.com/football/espanyol-vs-sd-huesca/stats/399547
2018-19,Monday 18th February,SD Huesca,Athletic Bilbao,https://www.skysports.com/football/sd-huesca-vs-athletic-bilbao/399537,https://www.skysports.com/football/sd-huesca-vs-athletic-bilbao/stats/399537
2018-19,Sunday 17th February,Real Madrid,Girona,https://www.skysports.com/football/real-madrid-vs-girona/399540,https://www.skysports.com/football/real-madrid-vs-girona/stats/399540
2018-19,Sunday 17th February,Valencia,Espanyol,https://www.skysports.com/football/valencia-vs-espanyol/399542,https://www.skysports.com/football/valencia-vs-espanyol/stats/399542
