draw_bet365_probs,season,fulltime_result,date,is_home,team,team_fulltime_goals,team_halftime_goals,team_win_bet365_probs,team_pre_rating,team_possession,team_total_shots,team_shots_on_target,team_shots_off_target,team_blocked,team_passing_percent,team_clear_cut_chances,team_corners,team_offsides,team_tackles_percent,team_aerial_duels,team_saves,team_fouls_committed,team_fouls_won,team_yellow_cards,team_red_cards,team_xg,opponent_fulltime_goals,opponent_halftime_goals,opponent_win_bet365_probs,opponent_pre_rating,opponent_possession,opponent_total_shots,opponent_shots_on_target,opponent_shots_off_target,opponent_blocked,opponent_passing_percent,opponent_clear_cut_chances,opponent_corners,opponent_offsides,opponent_tackles_percent,opponent_aerial_duels,opponent_saves,opponent_fouls_committed,opponent_fouls_won,opponent_yellow_cards,opponent_red_cards,opponent_xg,fd_team_fulltime_goals,fd_team_halftime_goals,fd_team_win_bet365_probs,fd_team_pre_rating,fd_team_possession,fd_team_total_shots,fd_team_shots_on_target,fd_team_shots_off_target,fd_team_blocked,fd_team_passing_percent,fd_team_clear_cut_chances,fd_team_corners,fd_team_offsides,fd_team_tackles_percent,fd_team_aerial_duels,fd_team_saves,fd_team_fouls_committed,fd_team_fouls_won,fd_team_yellow_cards,fd_team_red_cards,fd_team_xg,fd_draw_bet365_probs,fd_opponent_fulltime_goals,fd_opponent_halftime_goals,fd_opponent_win_bet365_probs,fd_opponent_pre_rating,fd_opponent_possession,fd_opponent_total_shots,fd_opponent_shots_on_target,fd_opponent_shots_off_target,fd_opponent_blocked,fd_opponent_passing_percent,fd_opponent_clear_cut_chances,fd_opponent_corners,fd_opponent_offsides,fd_opponent_tackles_percent,fd_opponent_aerial_duels,fd_opponent_saves,fd_opponent_fouls_committed,fd_opponent_fouls_won,fd_opponent_yellow_cards,fd_opponent_red_cards,fd_opponent_xg
0.33,2017_2018,1,2018-05-20,1,Atletico Madrid,1,1,0.14,2194,48,5,3,2,0,72,2,2,4,58,53,4,17,11,2,0,1.8,1,1,0.53,1957,49,9,4,4,1,67,1,3,4,63,54,2,13,10,3,0,0.9,1,1,0.23,-27,3,-4,0,-2,-2,-10,2,-4,2,-6,0,0,8,-2,1,0,0.0,0.08999999999999997,-3,-1,-0.31999999999999995,21,7,-6,-2,-2,-2,1,-3,-2,3,-11,5,-2,0,-1,-2,0,-0.4
0.36,2017_2018,2,2018-05-20,1,Barcelona,4,1,0.06,2307,64,18,7,3,8,88,0,8,4,60,64,2,12,17,7,0,1.1,3,2,0.57,1981,60,11,6,5,0,84,4,5,3,66,41,0,8,11,1,0,0.6,-1,-2,0.0,3,8,6,1,1,4,-2,-3,4,-1,23,31,-4,6,3,7,0,-0.5,-0.020000000000000018,3,2,-0.24000000000000002,-6,2,0,5,0,-5,-1,3,1,1,-13,5,-5,-5,-6,-1,0,1.9000000000000001
0.34,2017_2018,2,2018-05-20,1,Valencia,1,0,0.1,2048,43,10,4,1,5,79,1,2,1,64,51,4,11,16,3,0,2.3,2,0,0.57,1817,51,16,7,8,1,88,4,11,3,71,31,3,14,4,3,0,2.0,1,0,-0.03999999999999998,-9,0,4,2,-3,5,0,0,-1,-2,-5,-6,0,-7,-1,0,0,0.30000000000000004,0.010000000000000009,1,0,-0.12,6,3,5,5,4,-4,10,3,1,3,-6,-36,0,3,-2,1,0,1.5
0.38,2018_2019,2,2018-08-31,1,Eibar,0,0,0.32,1937,64,9,0,8,1,64,0,5,5,76,54,2,11,12,1,0,1.0,2,2,0.3,1992,33,7,6,1,0,66,2,0,3,75,53,2,9,11,2,0,1.3,-1,0,0.31000000000000005,-16,-4,-9,-6,0,-3,-17,-1,-3,4,4,3,-2,-1,-1,0,0,-0.7000000000000001,0.0,0,1,-0.16999999999999998,14,-14,-2,2,-3,-1,-12,2,-6,-1,38,0,-4,-1,-5,-1,0,0.9000000000000001
0.32,2018_2019,1,2018-08-31,1,Getafe,2,1,0.19,1951,35,7,4,3,0,51,3,5,2,66,45,0,14,9,2,0,1.2,0,0,0.48,1836,35,7,4,3,0,75,1,6,2,60,42,4,13,9,1,0,0.9,2,1,-0.4,-2,13,2,3,1,-2,-13,3,5,2,3,3,-1,-14,-2,-5,0,1.2,0.010000000000000009,0,0,0.18000000000000005,4,3,5,3,2,0,13,0,4,1,5,5,2,-7,-8,0,0,0.4
0.35,2018_2019,0,2018-08-31,1,Villarreal,0,0,0.14,1999,47,15,6,3,6,83,1,5,2,76,56,2,14,11,2,0,1.1,1,1,0.52,1873,33,10,5,3,2,77,0,4,2,53,52,4,13,10,2,0,1.0,-1,-1,0.19999999999999998,-14,-4,-1,-1,0,0,4,0,1,2,11,8,0,-2,2,0,0,-0.6000000000000001,0.03999999999999998,1,1,0.37,-4,-34,-3,4,-7,0,-7,0,1,1,-12,-10,3,-8,-10,1,0,-0.29999999999999993
0.32,2018_2019,2,2018-09-01,1,Celta Vigo,2,2,0.52,1993,45,21,9,8,4,81,5,7,4,78,71,5,8,12,3,0,0.5,1,0,0.16,2217,46,9,2,5,2,78,1,8,4,67,76,3,7,8,1,0,0.4,1,2,0.15999999999999998,-3,-3,9,7,0,2,1,4,-1,1,22,7,1,-5,-2,0,0,1.9,0.020000000000000018,0,-1,-0.24999999999999997,-2,-2,0,-1,2,-1,-1,-1,-2,-2,6,29,0,-8,-2,-2,0,0.0
0.29,2018_2019,2,2018-09-01,1,Real Madrid,4,1,0.04,2310,66,20,8,7,5,90,6,7,1,50,48,4,11,13,3,0,2.5,2,0,0.67,1868,66,18,5,9,4,81,2,5,3,70,46,4,12,9,1,0,1.1,2,0,0.03,2,-11,10,5,2,3,-1,5,4,-5,-15,-9,3,0,-13,2,0,2.9,0.03999999999999998,1,-1,-0.13,-6,33,7,3,2,2,11,0,3,2,-1,-6,1,-1,-3,-4,0,0.7
0.36,2018_2019,2,2018-09-02,1,Alaves,0,0,0.34,1963,33,16,4,8,4,71,0,5,1,57,20,4,17,14,3,0,1.4,2,0,0.3,1999,48,19,9,5,5,82,1,6,2,64,70,3,16,10,1,0,1.2,0,0,-0.33,-3,11,13,4,6,3,5,0,4,1,12,7,-2,4,9,1,0,0.3,0.07,1,-1,-0.09000000000000002,3,-3,5,4,1,0,2,1,-1,1,16,34,1,2,-3,-1,0,0.7000000000000001
0.4,2018_2019,2,2018-09-02,1,Real Betis,0,0,0.32,1943,67,12,5,3,4,85,2,6,5,80,80,4,15,16,1,0,0.9,0,0,0.28,2070,52,19,2,9,8,84,3,4,0,100,44,6,13,14,3,0,0.6,0,0,0.13999999999999999,-24,-10,-10,-3,-7,0,-5,2,1,3,24,18,3,5,6,1,0,0.0,0.0,-4,-3,-0.06999999999999998,16,0,2,-6,2,6,0,-2,-2,-6,26,2,5,-2,8,3,0,-0.8999999999999999
0.37,2018_2019,1,2018-09-02,1,Levante,1,0,0.41,1948,54,15,6,5,4,80,3,7,1,80,28,6,14,7,2,0,1.6,0,0,0.22,2039,51,16,4,2,10,81,1,10,1,70,30,7,12,16,1,0,4.1,-2,-1,-0.18999999999999995,24,31,9,2,3,4,15,-1,4,-3,30,-10,-2,4,-3,0,0,-0.6000000000000001,0.0,-1,0,-0.07,2,0,3,0,-6,9,-2,-1,6,1,-12,-22,5,2,3,-1,0,0.7999999999999998
0.39,2018_2019,0,2018-09-14,1,SD Huesca,2,2,0.24,1826,32,7,3,2,2,80,2,4,1,87,41,7,12,5,2,0,1.7,0,0,0.38,1798,53,13,3,8,2,83,2,5,1,66,23,1,8,6,1,0,1.2,0,2,0.1499999999999999,6,-8,-2,-1,-2,1,6,2,2,0,20,1,5,-4,-10,0,0,1.4,-0.03999999999999998,-1,0,0.36,-11,4,0,1,3,-4,-1,1,3,-2,-2,-34,-2,2,-7,0,0,-0.6000000000000001
0.37,2018_2019,1,2018-09-15,1,Athletic Bilbao,2,0,0.51,1938,59,14,4,6,4,82,1,3,2,57,59,2,15,15,2,0,1.4,4,1,0.13,2311,77,17,8,6,3,91,3,8,1,68,54,2,11,11,1,0,1.8,0,-1,-0.03,6,-6,-3,-1,-3,1,-1,-4,-3,2,-32,13,1,3,2,-2,0,-1.6,0.0,0,0,-0.049999999999999996,5,11,-3,0,-1,-2,1,-3,1,0,18,6,-2,0,-2,-2,0,-1.4
0.24,2018_2019,1,2018-09-15,1,Atletico Madrid,0,0,0.08,2197,50,10,0,4,6,81,0,8,1,47,45,2,14,12,3,1,2.3,2,1,0.68,1946,58,8,2,4,2,65,1,4,4,72,55,1,17,13,3,0,1.3,-1,0,0.12,1,3,1,-2,-1,4,3,-1,0,-3,-20,-30,-1,7,4,2,1,-0.5,0.08000000000000002,2,1,-0.14,-11,-5,-1,2,-4,1,1,1,-1,-1,-3,0,-1,6,1,2,0,0.4
0.37,2018_2019,1,2018-09-15,1,Valencia,2,1,0.17,2039,54,18,5,9,4,81,4,5,4,73,52,2,10,13,2,0,1.0,1,0,0.46,1954,62,11,3,4,4,84,1,5,4,78,42,2,15,15,3,0,1.0,2,1,-0.05000000000000002,-14,2,2,1,7,-6,0,3,-5,3,3,22,-5,-2,-3,1,0,2.1999999999999997,0.010000000000000009,1,0,0.020000000000000018,3,-4,-1,-2,1,0,-1,-1,-1,-1,-1,-37,-2,0,-1,2,0,0.0
0.34,2018_2019,2,2018-09-16,1,Espanyol,1,1,0.16,1991,63,11,7,2,2,80,0,12,1,40,48,3,13,17,3,0,1.6,2,2,0.5,1948,45,13,4,6,3,78,2,3,4,82,47,3,14,10,2,1,0.8,-1,1,-0.07,14,15,-8,-2,-3,-3,-2,-1,6,-1,-24,-21,0,-3,7,2,0,-0.10000000000000009,0.0,1,2,0.12999999999999995,-12,-9,-2,-2,1,-1,-1,-1,-4,3,2,19,-3,0,3,0,1,-0.2999999999999998
0.32,2018_2019,0,2018-09-16,1,Sevilla,0,0,0.12,2059,37,8,2,5,1,73,2,8,5,73,57,2,17,15,5,1,1.2,0,0,0.56,1945,53,12,3,4,5,72,1,6,1,60,68,4,22,14,2,0,1.9,0,0,0.11000000000000001,-2,-14,-11,0,-4,-7,-11,-1,4,5,-26,13,-4,4,1,2,1,-1.2999999999999998,-0.009999999999999953,-2,-1,-0.01999999999999999,11,17,5,-1,1,5,20,-2,1,-1,-6,22,4,8,5,0,0,-0.19999999999999996
0.35,2018_2019,0,2018-09-16,1,Real Valladolid,0,0,0.25,1842,46,7,4,2,1,65,0,7,1,72,31,3,14,21,1,0,1.1,2,0,0.4,1971,36,8,5,3,0,73,1,0,2,66,51,6,19,12,4,0,0.8,0,0,-0.18000000000000005,-2,10,0,0,-1,1,-10,-1,1,-1,11,-11,-1,1,12,0,0,0.5,0.030000000000000027,2,0,0.020000000000000018,-3,3,-8,1,-5,-4,2,1,-5,1,8,31,2,2,-2,1,0,0.7999999999999999
0.38,2018_2019,2,2018-09-17,1,Girona,1,0,0.28,1889,34,14,6,5,3,73,1,2,1,69,50,3,11,16,2,0,1.7,2,0,0.34,2013,49,10,4,5,1,83,0,2,3,50,54,0,12,12,4,0,1.0,0,-1,-0.020000000000000018,-5,0,4,1,2,1,-3,1,-2,-1,15,-2,-1,-2,6,0,0,0.6,-0.020000000000000018,0,-2,0.17000000000000004,12,4,-11,-5,-3,-3,2,-5,-5,-1,-28,-17,-5,4,0,1,0,-2.0
0.37,2018_2019,0,2018-09-21,1,SD Huesca,0,0,0.4,1812,53,14,4,8,2,79,3,6,1,80,59,1,16,18,1,0,0.6,1,1,0.23,1979,30,8,5,2,1,76,4,1,2,59,41,4,18,8,1,0,0.2,-2,-2,-0.47,-1,21,7,1,6,0,0,1,2,0,-7,17,-6,4,13,-1,0,0.0,0.12,0,0,0.21000000000000002,-9,-11,1,3,-1,-1,19,4,-1,-1,6,-3,4,3,-8,-1,0,0.09999999999999987
0.33,2018_2019,1,2018-09-22,1,Celta Vigo,2,1,0.17,2002,66,20,7,5,8,88,0,1,2,55,60,3,11,15,1,1,1.9,0,0,0.5,1833,58,15,5,6,4,84,1,7,1,66,51,3,9,12,3,0,2.1,0,1,-0.18,20,16,10,3,0,7,4,0,-1,-1,5,6,3,-1,3,-3,1,0.5,0.06,0,0,-0.22999999999999998,6,12,8,1,4,3,19,1,0,0,-5,19,0,-5,-9,2,0,0.20000000000000007
0.35,2018_2019,2,2018-09-22,1,Eibar,1,0,0.22,1954,43,12,3,6,3,69,0,3,1,88,42,8,21,5,2,0,1.3,0,0,0.43,1857,46,16,3,9,4,79,0,6,3,85,55,2,16,8,4,0,0.3,-1,-1,0.36000000000000004,9,-14,4,1,2,1,4,-1,-1,-3,15,-12,7,4,-8,-1,0,0.30000000000000004,-0.14,-1,-1,-0.32000000000000006,-1,23,8,0,7,1,5,0,5,2,22,10,-2,5,-3,3,0,0.2999999999999998
0.33,2018_2019,0,2018-09-22,1,Getafe,2,2,0.5,1968,29,10,5,4,1,65,3,1,1,60,50,2,22,10,6,0,0.6,1,0,0.18,2200,56,19,9,6,4,77,7,14,3,90,57,2,5,21,2,0,1.1,2,2,0.37000000000000005,-6,-23,-2,2,0,-4,-7,2,-5,0,0,-18,-2,0,-4,4,0,0.7,0.0,1,0,-0.08,-20,6,9,9,2,-2,-3,7,6,2,42,11,0,-9,9,-1,-1,1.9
0.3,2018_2019,2,2018-09-22,1,Real Madrid,1,0,0.05,2314,60,16,6,9,1,88,2,2,6,41,46,3,7,19,2,0,1.0,1,0,0.65,1997,57,23,9,12,2,82,1,5,0,50,51,4,17,10,1,0,0.4,-3,-1,0.09,1,-17,-1,-2,3,-2,-3,-1,-6,5,-27,-8,1,-4,8,1,0,-0.7,0.08000000000000002,0,-1,-0.13999999999999999,-8,-6,12,2,10,0,2,1,-7,-1,10,3,1,4,-7,-2,0,0.40000000000000013
0.38,2018_2019,0,2018-09-22,1,Rayo Vallecano,1,1,0.23,1812,46,14,2,2,10,80,1,3,0,62,40,4,18,14,1,0,1.5,1,0,0.4,1980,41,10,4,4,2,76,1,2,0,66,48,5,12,9,2,0,1.3,1,1,-0.33999999999999997,-1,-7,1,-1,-6,8,-2,-1,-2,-1,-4,17,3,10,8,0,0,-0.30000000000000004,0.15000000000000002,-1,0,0.06,8,4,2,-1,1,2,3,0,2,-2,0,-2,-1,-7,-3,-2,0,-0.5999999999999999
0.37,2018_2019,1,2018-09-23,1,Real Betis,0,0,0.24,1961,60,11,6,4,1,89,1,4,3,58,33,2,9,21,3,0,1.1,1,1,0.4,1945,39,12,4,6,2,82,1,1,2,56,53,5,19,7,6,0,0.6,-1,0,0.14,11,-1,0,3,0,-3,5,0,-1,-1,-19,-9,0,-6,6,0,0,0.09999999999999998,-0.030000000000000027,-1,1,0.37,-6,-19,-2,0,0,-2,0,0,-2,0,-1,-5,3,4,-8,4,0,0.7999999999999999
0.39,2018_2019,0,2018-09-23,1,Levante,0,0,0.38,1942,43,16,4,8,4,77,0,4,0,55,48,8,13,17,2,0,2.3,0,0,0.22,2045,70,15,1,9,5,82,1,7,6,58,50,3,10,20,3,0,3.2,-2,-2,0.09000000000000002,0,-2,3,0,2,1,-1,-2,1,-4,-26,0,5,-1,7,0,-1,-0.8,-0.02999999999999997,0,0,-0.16000000000000003,-11,32,7,-1,4,4,9,-1,-1,1,-15,-7,1,-7,5,-2,-1,0.6
0.37,2018_2019,1,2018-09-23,1,Villarreal,1,0,0.26,1985,53,9,3,5,1,82,0,1,3,85,44,3,9,15,3,0,0.7,0,0,0.37,2022,39,12,2,7,3,80,1,5,0,60,66,5,22,8,6,0,0.4,1,0,0.14999999999999997,-16,-12,-4,0,-1,-3,-3,-1,-6,2,54,-5,-2,-7,5,0,0,-0.6000000000000001,0.010000000000000009,-2,-1,-0.04999999999999999,0,-15,-6,-3,-2,-1,0,-3,0,-4,-13,14,3,12,-5,4,0,-3.0999999999999996
0.27,2018_2019,2,2018-09-25,1,Atletico Madrid,2,1,0.05,2210,58,7,5,2,0,81,2,5,4,41,62,2,15,12,2,0,0.9,0,0,0.68,1804,47,13,3,9,1,77,1,7,0,76,48,0,16,10,5,0,0.9,1,1,0.09999999999999999,3,2,-12,-4,-4,-4,3,-5,-9,1,-48,4,0,10,-9,0,0,-1.1999999999999997,0.09000000000000002,0,0,0.16000000000000003,-14,-5,-1,-1,1,-1,-1,-2,1,-1,-3,-11,-1,0,-8,4,0,-1.1
0.34,2018_2019,2,2018-09-25,1,Espanyol,0,0,0.2,1995,35,10,3,4,3,82,0,3,2,47,64,4,16,5,2,0,0.9,1,0,0.46,1959,56,14,3,8,3,67,2,5,2,83,43,2,16,17,1,0,0.3,-1,0,0.49,6,-21,-13,-6,-8,1,0,-1,-2,2,-2,12,0,-1,-5,1,0,-1.2000000000000002,-0.040000000000000036,0,0,-0.4600000000000001,8,13,2,0,2,0,-2,2,2,1,-5,1,-6,-5,12,-1,0,0.0
0.36,2018_2019,1,2018-09-25,1,Real Sociedad,1,0,0.14,1987,52,7,1,4,2,79,0,5,2,77,51,3,12,15,1,2,1.6,1,1,0.5,1797,51,13,4,7,2,82,0,8,3,61,54,2,14,12,1,1,2.1,0,-1,-0.28,-4,21,-1,-4,2,1,2,-4,4,0,18,10,-1,-6,7,0,2,-1.2,-0.010000000000000009,0,0,-0.15,14,5,-1,2,5,-8,2,-1,5,3,-1,13,-2,-4,-2,0,1,0.30000000000000004
0.37,2018_2019,0,2018-09-26,1,Athletic Bilbao,2,2,0.25,1948,29,7,4,1,2,71,1,1,5,36,47,3,20,12,5,1,0.8,0,0,0.37,1983,55,11,1,3,7,87,2,8,1,66,57,2,12,11,4,0,2.5,1,1,-0.10999999999999999,7,-10,-5,0,-5,0,-10,0,0,3,-19,-6,-2,1,5,-1,1,-0.7999999999999999,0.0,-1,0,-0.02999999999999997,2,2,2,-2,-2,6,5,2,7,-2,-19,13,-1,3,-4,1,0,0.19999999999999996
0.31,2018_2019,2,2018-09-26,1,Leganes,0,0,0.62,1852,43,4,2,2,0,58,1,2,7,72,56,2,17,13,1,0,1.1,2,1,0.06,2319,67,22,11,4,7,91,1,8,1,66,62,3,9,16,3,1,0.4,0,0,0.08000000000000002,-10,-3,-12,-1,-7,-4,-21,1,-4,4,-13,0,0,1,5,-3,0,-1.0999999999999999,-0.010000000000000009,0,1,-0.07,9,-2,10,5,-1,6,3,0,2,1,-15,4,-1,1,-2,2,1,0.0
0.41,2018_2019,2,2018-09-26,1,Sevilla,6,4,0.42,2064,51,20,9,5,6,84,2,4,1,90,58,9,18,5,1,0,2.4,1,1,0.17,2316,64,19,5,8,6,90,0,8,4,90,35,3,5,14,2,0,1.5,6,4,0.1,-14,-18,5,8,-4,1,2,1,-3,-5,32,8,6,8,-15,-2,0,2.0,0.07,0,1,-0.08,3,4,3,-1,-1,5,1,-2,6,-2,48,-10,0,-2,-5,0,0,-0.8
0.38,2018_2019,1,2018-09-26,1,Valencia,0,0,0.16,2024,44,11,2,4,5,84,0,6,2,52,42,1,12,12,1,1,1.1,3,2,0.46,1996,46,12,5,3,4,80,2,7,2,68,60,1,9,11,2,0,0.4,0,0,0.19999999999999998,-17,5,-1,0,-3,2,3,-1,1,2,-7,-23,-4,-10,4,-5,1,-0.6,0.0,1,1,-0.17,-11,-19,-8,-2,-2,-4,-8,2,6,0,13,0,-2,-2,-4,1,-1,0.8999999999999999
0.35,2018_2019,1,2018-09-27,1,Alaves,5,2,0.33,1995,48,11,7,2,2,79,2,4,3,77,45,4,12,13,2,0,1.7,0,0,0.32,1958,41,11,2,5,4,74,0,1,0,61,37,3,12,13,1,1,1.1,4,2,0.0,9,6,1,3,-2,0,2,1,2,3,11,-3,-1,0,4,0,0,0.5,0.030000000000000027,-2,-2,-0.06000000000000005,23,11,1,-3,1,3,9,-3,0,-1,1,-12,1,-10,3,-5,1,-1.2999999999999998
0.38,2018_2019,0,2018-09-27,1,Girona,2,1,0.29,1909,32,7,6,1,0,78,3,2,1,50,37,9,16,9,5,0,0.8,2,0,0.33,1958,70,16,4,5,7,88,2,6,1,77,52,2,13,19,2,0,1.6,-1,-1,0.35,11,0,-4,0,-4,0,5,1,-1,1,0,-2,4,1,-1,4,0,-0.19999999999999996,-0.04999999999999999,2,0,-0.22000000000000003,7,9,5,-2,1,6,0,1,2,-2,19,19,0,4,-2,-1,0,0.10000000000000009
0.38,2018_2019,2,2018-09-27,1,Real Valladolid,3,1,0.22,1839,53,14,4,4,6,81,4,8,1,58,39,2,11,8,2,0,1.0,2,1,0.39,1923,48,19,11,4,4,85,2,8,2,22,41,3,5,17,1,0,0.8,3,1,0.25,-9,-5,-1,-1,-2,2,-3,3,1,0,-8,-11,-1,2,-4,-1,0,1.0,-0.019999999999999962,2,1,-0.12,-6,5,3,7,-4,0,8,2,4,2,-33,-6,-5,-8,0,-1,0,1.4999999999999998
0.38,2018_2019,1,2018-09-28,1,Rayo Vallecano,2,2,0.32,1804,43,10,5,4,1,79,0,5,1,76,38,4,18,12,3,0,1.3,1,0,0.3,2001,46,9,5,3,1,75,1,4,1,54,64,1,9,7,2,0,1.5,1,1,0.27,-15,-8,-3,1,-3,-1,-3,0,-3,-2,15,-15,2,4,0,2,-1,0.6000000000000001,-0.020000000000000018,1,0,-0.45,-2,11,-1,2,-1,-2,-6,1,1,-1,7,0,-3,-7,2,0,0,0.5
0.38,2018_2019,0,2018-09-29,1,Eibar,0,0,0.37,1953,53,8,1,6,1,75,0,3,1,93,35,4,8,9,2,0,0.8,3,3,0.25,2089,40,16,7,5,4,82,2,5,3,40,40,3,16,11,3,0,2.0,-1,0,0.24000000000000002,5,-3,-6,-2,-2,-2,7,-2,-2,-1,10,-8,2,-8,-8,1,0,-1.0,-0.009999999999999953,-3,-1,0.19999999999999998,19,-11,-4,-2,0,-2,-2,0,1,2,-50,-18,-6,-2,6,2,0,-0.8000000000000003
0.39,2018_2019,0,2018-09-29,1,Real Sociedad,2,1,0.25,1980,56,16,6,7,3,83,1,8,6,53,61,4,12,17,4,0,1.3,1,1,0.36,2020,36,14,5,8,1,79,1,0,1,53,45,2,18,7,1,0,0.9,1,1,-0.09,8,4,9,5,3,1,4,1,3,4,-23,9,1,0,2,3,-2,1.4000000000000001,-0.010000000000000009,1,1,-0.21,2,-7,3,3,4,-4,-4,1,-6,-1,1,2,1,6,-5,0,-1,0.7000000000000001
0.35,2018_2019,2,2018-09-30,1,Real Betis,1,0,0.15,1969,64,14,6,6,2,87,1,1,1,76,52,2,14,17,3,0,1.7,2,0,0.5,1870,22,10,6,2,2,68,1,4,1,50,41,4,15,11,4,0,0.5,-1,0,0.09000000000000002,-3,-6,-2,2,1,-5,-1,-1,-5,0,0,0,0,1,-2,1,0,0.5,0.010000000000000009,2,0,0.19,-5,-20,6,4,0,2,10,0,2,-6,-22,-14,2,-2,-2,3,0,0.8
0.38,2018_2019,1,2018-09-30,1,SD Huesca,0,0,0.29,1802,41,8,1,4,3,85,1,3,2,88,53,2,14,1,2,0,1.5,0,0,0.33,1898,35,8,2,5,1,77,2,5,4,50,48,5,18,14,1,0,1.7,0,0,0.28,-8,-6,-5,-2,-5,2,7,0,-4,2,11,5,2,-2,-9,-3,0,0.30000000000000004,-0.09999999999999998,-2,-1,-0.34,9,2,1,-4,4,1,-1,-1,3,3,0,10,-4,2,5,-4,0,-0.7
0.33,2018_2019,0,2018-09-30,1,Villarreal,3,0,0.13,2004,33,19,6,8,5,75,3,4,0,54,37,2,14,3,1,0,2.8,2,0,0.54,1849,64,20,6,9,5,87,1,8,2,76,34,3,17,10,1,0,0.8,3,0,0.10999999999999999,-2,-22,8,5,5,-2,-11,1,-4,-1,-12,-19,0,2,-8,-3,0,1.8,0.0,-1,-1,-0.28,6,11,6,2,5,-1,6,-3,0,1,17,-4,1,6,2,-1,0,-1.1
0.38,2018_2019,1,2018-10-01,1,Celta Vigo,1,0,0.22,2000,63,9,3,4,2,88,0,2,2,37,54,5,7,18,3,0,0.5,1,0,0.41,1962,51,13,5,5,3,58,0,7,4,56,47,1,22,9,2,0,1.2,-2,-2,0.29000000000000004,-6,16,-3,-2,1,-2,7,-2,-5,0,-31,-6,4,-2,7,1,0,-1.5,0.04999999999999999,1,0,-0.18,-10,9,2,3,0,-1,-15,0,6,4,-4,9,-2,10,-4,1,-1,0.5000000000000001
0.37,2018_2019,0,2018-10-05,1,Athletic Bilbao,1,1,0.22,1936,29,8,2,3,3,61,1,3,3,65,44,7,18,9,3,0,1.4,0,0,0.41,1968,54,10,5,4,1,82,0,3,3,66,70,1,13,18,3,0,2.2,1,1,0.41000000000000003,-21,-37,-4,0,-4,0,-26,0,-3,0,-5,-18,4,15,-4,2,0,0.09999999999999998,-0.08000000000000002,-2,-1,0.10999999999999999,-7,-2,-6,-1,-3,-2,0,-1,-5,-3,12,8,-3,1,1,-1,0,-0.30000000000000004
0.31,2018_2019,2,2018-10-06,1,Alaves,1,1,0.6,1982,52,13,2,8,3,69,0,4,0,64,51,1,19,22,1,0,1.1,0,0,0.09,2264,65,15,6,6,3,88,2,8,0,78,68,3,7,17,3,0,0.8,0,1,0.03999999999999998,-4,3,-2,0,0,-2,8,-1,-1,-3,-13,-1,-3,10,0,-3,0,-0.7999999999999999,0.040000000000000036,0,0,0.04999999999999999,-25,6,-6,3,-6,-3,0,0,2,-5,7,8,-2,-5,1,-1,0,-0.30000000000000004
0.34,2018_2019,0,2018-10-06,1,Getafe,1,0,0.16,1966,47,12,4,6,2,67,1,9,1,69,47,1,15,13,2,0,1.1,2,2,0.5,1922,47,14,3,11,0,69,3,9,3,63,48,1,22,19,7,0,1.0,0,0,0.08999999999999997,4,-3,-1,-1,1,-1,8,1,2,-3,12,0,0,-7,4,0,0,0.09999999999999987,0.030000000000000027,1,2,-0.15000000000000002,-10,12,5,-1,10,-4,-3,2,3,2,-29,-16,-3,12,2,5,-1,0.8
0.35,2018_2019,0,2018-10-06,1,Girona,1,1,0.23,1898,48,13,3,7,3,78,2,5,0,70,48,5,14,14,2,0,1.2,1,0,0.42,1940,63,16,2,12,2,80,0,6,1,78,50,2,16,8,2,0,1.7,1,1,0.040000000000000036,-11,12,5,1,2,2,1,0,0,-4,20,0,0,-4,0,1,0,0.8999999999999999,0.0,1,0,-0.09000000000000002,-6,9,8,1,6,1,5,0,3,0,-14,14,-2,8,-1,0,0,0.5
0.35,2018_2019,2,2018-10-06,1,Leganes,0,0,0.22,1865,17,11,5,4,2,55,0,1,1,65,61,3,10,7,4,0,0.9,2,1,0.43,1807,52,11,5,3,3,84,0,5,1,65,55,3,13,14,3,0,0.4,-2,0,-0.12,18,-4,1,-1,2,0,-12,-1,-3,0,15,19,-1,-5,-4,0,0,-0.6000000000000001,0.03999999999999998,0,-1,-0.18,7,9,1,0,-1,2,5,0,0,0,-11,16,-1,-5,2,0,0,-0.8
0.28,2018_2019,2,2018-10-07,1,Atletico Madrid,0,0,0.1,2221,34,8,3,4,1,79,2,6,1,63,32,6,17,7,4,0,0.6,1,0,0.62,1976,82,17,4,5,8,90,2,7,4,54,38,5,7,9,0,0,0.3,-3,-3,0.36,2,-24,-9,-2,-2,-5,-12,1,2,0,3,-14,5,16,-7,4,0,-0.09999999999999998,0.10999999999999999,0,0,-0.18000000000000002,11,17,3,-2,-1,6,3,1,6,3,-22,-13,3,-7,-8,-3,0,0.09999999999999987
0.36,2018_2019,2,2018-10-07,1,Espanyol,2,2,0.25,1998,47,12,5,3,4,78,0,3,0,61,44,2,16,11,3,0,2.4,0,0,0.38,1990,61,26,7,11,8,85,2,7,0,57,72,2,17,10,3,0,1.5,1,2,0.09999999999999998,6,1,3,0,0,3,3,-1,-1,-1,7,-20,1,7,4,1,0,0.6,0.03999999999999998,-3,0,-0.24,21,28,7,1,3,3,10,-1,3,0,2,34,0,3,7,2,0,0.2999999999999998
