draw_bet365_probs,season,fulltime_result,date,is_home,team,team_fulltime_goals,team_halftime_goals,team_win_bet365_probs,team_pre_rating,team_possession,team_total_shots,team_shots_on_target,team_shots_off_target,team_blocked,team_passing_percent,team_clear_cut_chances,team_corners,team_offsides,team_tackles_percent,team_aerial_duels,team_saves,team_fouls_committed,team_fouls_won,team_yellow_cards,team_red_cards,team_xg,opponent_fulltime_goals,opponent_halftime_goals,opponent_win_bet365_probs,opponent_pre_rating,opponent_possession,opponent_total_shots,opponent_shots_on_target,opponent_shots_off_target,opponent_blocked,opponent_passing_percent,opponent_clear_cut_chances,opponent_corners,opponent_offsides,opponent_tackles_percent,opponent_aerial_duels,opponent_saves,opponent_fouls_committed,opponent_fouls_won,opponent_yellow_cards,opponent_red_cards,opponent_xg,fd_team_fulltime_goals,fd_team_halftime_goals,fd_team_win_bet365_probs,fd_team_pre_rating,fd_team_possession,fd_team_total_shots,fd_team_shots_on_target,fd_team_shots_off_target,fd_team_blocked,fd_team_passing_percent,fd_team_clear_cut_chances,fd_team_corners,fd_team_offsides,fd_team_tackles_percent,fd_team_aerial_duels,fd_team_saves,fd_team_fouls_committed,fd_team_fouls_won,fd_team_yellow_cards,fd_team_red_cards,fd_team_xg,fd_draw_bet365_probs,fd_opponent_fulltime_goals,fd_opponent_halftime_goals,fd_opponent_win_bet365_probs,fd_opponent_pre_rating,fd_opponent_possession,fd_opponent_total_shots,fd_opponent_shots_on_target,fd_opponent_shots_off_target,fd_opponent_blocked,fd_opponent_passing_percent,fd_opponent_clear_cut_chances,fd_opponent_corners,fd_opponent_offsides,fd_opponent_tackles_percent,fd_opponent_aerial_duels,fd_opponent_saves,fd_opponent_fouls_committed,fd_opponent_fouls_won,fd_opponent_yellow_cards,fd_opponent_red_cards,fd_opponent_xg
0.34,2017_2018,2,2017-09-20,1,Deportivo La Coruna,1,1,0.2,1848,38,12,3,5,4,75,0,4,4,64,44,5,19,12,3,0,1.7,0,0,0.46,1925,48,16,2,7,7,80,0,2,3,69,58,3,12,25,2,0,0.4,-1,0,0.13,-12,-4,1,-1,1,1,2,-2,-1,3,-9,-5,5,1,-1,2,0,-0.5,-0.020000000000000018,0,0,-0.13,-7,14,11,-1,5,7,11,-1,-2,1,5,15,1,-5,10,-2,0,0.19999999999999996
0.35,2017_2018,1,2017-09-20,1,Leganes,0,0,0.24,1838,43,5,2,1,2,52,0,1,5,65,54,3,20,15,5,0,0.6,0,0,0.41,1807,45,14,0,9,5,82,2,8,0,70,55,7,14,18,2,0,1.2,-1,0,0.21,-13,-18,-6,-5,-3,2,-21,0,-1,5,-7,-2,2,6,-4,4,0,-1.3,0.0,0,0,-0.13,-4,-6,2,-7,6,3,4,2,4,-2,-5,12,4,-4,0,-4,0,1.2999999999999998
0.36,2017_2018,0,2017-09-20,1,Real Madrid,3,2,0.04,2403,49,18,6,7,5,83,4,6,3,60,41,4,15,12,2,0,3.5,2,1,0.6,1866,61,17,7,5,5,84,3,6,1,58,55,2,13,19,2,0,1.1,2,1,0.14,-9,-18,0,-4,0,4,-3,0,-7,0,1,-16,3,6,-2,0,-1,-0.30000000000000027,0.07,1,0,-0.26,-6,9,9,4,4,1,-1,1,3,0,-1,8,-2,4,10,2,0,1.7000000000000002
0.35,2017_2018,2,2017-09-20,1,Sevilla,1,0,0.1,2089,54,13,8,3,2,84,3,1,3,60,44,0,19,14,4,0,1.4,1,0,0.55,1879,55,12,3,8,1,79,1,7,1,63,40,5,12,19,2,0,0.4,-2,0,0.12,14,-4,1,2,-2,1,5,-2,-5,-1,-17,0,-1,5,-1,3,0,-1.8,0.020000000000000018,-2,-1,-0.08999999999999997,22,4,2,-5,6,1,2,-4,5,-1,-7,-8,0,1,-2,0,0,-1.0
0.36,2017_2018,1,2017-09-21,1,Celta Vigo,1,0,0.18,1940,64,11,1,6,4,84,2,5,3,80,54,1,14,10,4,0,0.6,1,1,0.45,1849,29,13,4,7,2,68,0,3,4,65,73,3,15,14,2,0,0.8,0,-1,0.19999999999999998,7,-2,-9,-2,-4,-3,-1,-1,-4,-1,-20,-2,-2,-3,-7,0,0,-1.6,0.020000000000000018,-1,0,0.15999999999999998,13,-8,3,2,2,-1,10,-1,-1,2,-6,30,-3,-5,2,0,0,0.6
0.37,2017_2018,2,2017-09-21,1,Levante,1,1,0.37,1875,46,9,2,2,5,73,0,1,2,50,43,4,21,11,2,0,1.9,1,1,0.26,2049,50,10,5,5,0,84,0,4,0,55,58,4,12,15,3,0,0.7,0,0,-0.31000000000000005,10,14,4,0,1,3,2,-1,-2,1,-16,1,-5,5,2,0,0,0.20000000000000007,0.07,-3,-1,0.16999999999999998,21,-7,-5,1,-2,-4,3,-2,-3,-1,5,8,2,-2,-3,0,0,-1.5
0.33,2017_2018,1,2017-09-21,1,Villarreal,3,1,0.16,2051,52,16,6,4,6,84,1,3,3,85,41,2,25,12,2,0,1.5,2,2,0.51,1944,35,9,3,3,3,73,1,3,2,84,45,0,12,13,1,0,1.0,0,0,0.09000000000000002,11,4,2,-1,-1,4,-2,0,-1,1,26,-11,0,16,3,-1,0,0.6000000000000001,-0.010000000000000009,2,2,-0.39,-3,12,0,2,-2,0,8,1,-4,1,17,14,-4,-6,2,-4,0,0.10000000000000009
0.29,2017_2018,0,2017-09-23,1,Alaves,0,0,0.66,1916,42,8,3,4,1,77,0,2,6,42,51,2,19,16,2,0,0.7,0,0,0.05,2383,60,27,7,14,6,86,6,12,0,50,45,2,13,11,0,0,2.4,0,0,0.10000000000000003,-18,-5,-8,1,-3,-6,-3,0,0,3,-26,-7,-1,7,-9,0,0,-0.29999999999999993,-0.019999999999999962,-3,-2,-0.12,6,10,9,1,7,1,2,2,6,-3,-10,4,-2,-2,-1,-2,0,0.7000000000000002
0.33,2017_2018,2,2017-09-23,1,Atletico Madrid,2,0,0.13,2232,43,16,9,5,2,79,4,0,2,75,44,6,12,12,2,0,1.3,1,0,0.54,2092,59,14,9,3,2,85,1,12,5,71,59,0,21,7,2,0,0.5,1,0,0.2,2,-22,-1,5,-4,-2,-6,2,-8,-3,-6,6,2,3,-3,0,0,0.7000000000000002,0.08999999999999997,0,0,-0.16,5,4,1,1,0,0,0,-2,11,2,11,14,0,2,-7,-2,0,0.19999999999999996
0.31,2017_2018,0,2017-09-23,1,Girona,0,0,0.62,1811,41,10,0,7,3,63,2,3,2,72,43,1,20,19,3,0,0.7,6,2,0.06,2320,60,11,10,1,0,85,3,7,2,87,33,3,4,9,0,0,1.0,0,0,0.03999999999999998,-5,-3,-4,0,-2,-2,-19,0,-5,2,2,-12,-6,6,1,1,0,-0.5,-0.020000000000000018,4,2,-0.030000000000000006,2,-9,4,5,0,-1,-4,2,3,-3,1,6,0,-10,-6,-4,0,2.0
