draw_bet365_probs,date,season,fulltime_result,is_home,team,team_fulltime_goals,team_halftime_goals,team_win_bet365_probs,team_pre_rating,team_possession,team_total_shots,team_shots_on_target,team_shots_off_target,team_blocked,team_passing_percent,team_clear_cut_chances,team_corners,team_offsides,team_tackles_percent,team_aerial_duels,team_saves,team_fouls_committed,team_fouls_won,team_yellow_cards,team_red_cards,team_xg,opponent_fulltime_goals,opponent_halftime_goals,opponent_win_bet365_probs,opponent_pre_rating,opponent_possession,opponent_total_shots,opponent_shots_on_target,opponent_shots_off_target,opponent_blocked,opponent_passing_percent,opponent_clear_cut_chances,opponent_corners,opponent_offsides,opponent_tackles_percent,opponent_aerial_duels,opponent_saves,opponent_fouls_committed,opponent_fouls_won,opponent_yellow_cards,opponent_red_cards,opponent_xg,fd_team_fulltime_goals,fd_team_halftime_goals,fd_team_win_bet365_probs,fd_team_pre_rating,fd_team_possession,fd_team_total_shots,fd_team_shots_on_target,fd_team_shots_off_target,fd_team_blocked,fd_team_passing_percent,fd_team_clear_cut_chances,fd_team_corners,fd_team_offsides,fd_team_tackles_percent,fd_team_aerial_duels,fd_team_saves,fd_team_fouls_committed,fd_team_fouls_won,fd_team_yellow_cards,fd_team_red_cards,fd_team_xg,fd_draw_bet365_probs,fd_opponent_fulltime_goals,fd_opponent_halftime_goals,fd_opponent_win_bet365_probs,fd_opponent_pre_rating,fd_opponent_possession,fd_opponent_total_shots,fd_opponent_shots_on_target,fd_opponent_shots_off_target,fd_opponent_blocked,fd_opponent_passing_percent,fd_opponent_clear_cut_chances,fd_opponent_corners,fd_opponent_offsides,fd_opponent_tackles_percent,fd_opponent_aerial_duels,fd_opponent_saves,fd_opponent_fouls_committed,fd_opponent_fouls_won,fd_opponent_yellow_cards,fd_opponent_red_cards,fd_opponent_xg
0.36,2017-09-30,2017_2018,2,0,Alaves,1,1,0.46,1914,32,8,3,3,2,74,0,5,2,70,50,5,19,19,5,0,2.2,0,0,0.19,1882,31,8,1,6,1,76,0,3,2,66,44,2,5,9,0,0,1.1,1,1,0.2,-9,-9,0,0,-1,1,-2,0,3,-4,27,-1,3,0,3,3,0,0.29999999999999993,-0.050000000000000044,-3,-1,0.09000000000000002,21,0,-5,-8,3,0,9,-1,0,1,-8,3,-1,-8,-2,-2,0,-1.5
0.37,2017-10-01,2017_2018,0,0,Eibar,0,0,0.44,1922,49,9,0,4,5,71,2,4,4,80,72,2,14,5,2,0,0.4,0,0,0.19,2018,60,6,1,4,1,80,2,4,1,72,50,4,16,11,4,0,2.5,-1,0,-0.31999999999999995,-3,10,-4,-4,-2,2,-6,0,-4,2,14,5,-2,5,1,0,0,-0.19999999999999996,-0.010000000000000009,0,0,0.15,-5,6,-8,-4,-3,-1,-1,0,-1,1,27,6,1,-1,1,-1,0,-0.3999999999999999
0.35,2017-10-13,2017_2018,1,0,Levante,0,0,0.48,1864,63,13,0,8,5,82,1,8,3,61,36,1,11,17,2,0,0.9,0,0,0.17,1957,36,8,3,4,1,79,0,3,3,68,61,6,10,7,2,0,2.4,0,0,-0.27,-14,31,5,-1,2,4,5,1,5,1,-5,-8,-1,6,8,2,0,0.7000000000000001,0.0,-4,-2,0.4600000000000001,9,-1,-9,-2,-6,-1,2,-3,-1,2,-5,16,1,-6,1,1,0,-2.3000000000000003
0.34,2017-10-14,2017_2018,2,0,Real Madrid,2,1,0.08,2401,64,23,8,10,5,90,5,10,3,69,38,3,8,10,2,0,2.0,1,0,0.59,1870,37,10,3,5,2,56,1,5,2,66,46,7,21,15,3,0,1.0,0,-1,-0.020000000000000004,17,-3,2,0,2,0,2,2,-3,2,8,-11,0,-11,-8,0,0,0.3999999999999999,0.0,-3,0,0.04999999999999999,24,-2,-7,-5,-3,1,-11,-1,-2,-4,-4,-3,6,10,-1,2,0,-0.9999999999999998
0.37,2017-10-15,2017_2018,2,0,Villarreal,3,1,0.3,2027,59,12,6,5,1,80,3,6,4,50,47,1,15,9,2,0,1.4,3,2,0.33,1814,35,9,5,4,0,71,2,6,2,85,51,6,17,7,5,0,2.4,3,1,-0.12,-28,0,6,5,1,0,0,1,2,3,-22,-2,-3,-1,-2,-2,0,1.4,0.010000000000000009,3,2,-0.09999999999999998,-3,-4,-4,3,-4,-3,-5,1,-3,-2,8,-4,2,-4,2,2,0,0.7
0.38,2017-10-16,2017_2018,2,0,Celta Vigo,3,2,0.35,1954,64,16,9,6,1,85,2,5,1,84,48,2,9,15,2,0,1.8,0,0,0.27,1854,52,11,1,8,2,85,1,3,0,60,40,7,11,9,1,0,2.1,-1,-1,-0.23,25,14,5,3,3,-1,14,0,1,-2,17,20,2,4,2,1,0,1.0999999999999999,-0.03999999999999998,0,0,0.45000000000000007,-21,-18,3,-2,6,-1,-2,0,0,-1,1,-6,6,1,-6,0,0,0.0
0.36,2017-10-21,2017_2018,1,0,Getafe,1,0,0.36,1868,31,8,3,5,0,67,0,4,3,83,34,4,23,8,2,0,0.8,0,0,0.27,1869,41,13,3,8,2,68,1,4,0,76,36,5,13,8,3,0,0.5,0,0,0.20999999999999996,-8,-6,-2,0,0,-2,10,-1,-1,1,16,-12,-3,2,-7,-1,0,-0.30000000000000004,-0.02999999999999997,0,0,0.29,-18,-21,0,3,0,-3,-14,0,-4,-3,15,0,4,2,-9,1,0,-0.20000000000000007
0.35,2017-10-22,2017_2018,0,0,Athletic Bilbao,1,1,0.38,2016,41,13,2,5,6,68,1,6,1,50,67,5,18,9,6,0,0.7,2,0,0.27,1881,45,19,9,8,2,67,3,2,2,78,58,5,21,20,3,0,1.1,-1,1,-0.15000000000000002,-8,-19,-3,-4,-3,4,-15,-4,-2,-2,2,13,3,2,-9,2,0,-1.0000000000000002,0.020000000000000018,2,0,-0.19999999999999996,6,6,12,6,6,0,-2,3,0,2,4,0,3,8,7,1,0,1.8000000000000003
0.31,2017-10-22,2017_2018,0,0,Eibar,0,0,0.66,1909,55,12,3,5,4,77,0,10,5,71,59,2,9,10,2,0,0.3,2,1,0.03,2392,69,16,6,6,4,84,2,7,5,63,65,2,8,22,3,0,1.4,0,0,-0.22,-9,14,3,2,-1,2,6,0,7,2,7,6,-1,0,-5,1,0,0.19999999999999996,0.010000000000000009,0,0,0.05,1,5,-7,-2,-4,-1,-5,-3,-3,2,-5,27,-1,0,12,1,0,-0.7999999999999998
0.35,2017-10-28,2017_2018,2,0,Barcelona,2,1,0.11,2335,65,12,4,5,3,89,2,4,2,80,52,5,10,10,1,0,2.7,0,0,0.54,2005,61,7,1,5,1,77,1,3,2,73,56,3,16,15,4,0,1.1,1,1,-0.24000000000000002,1,-3,-3,-3,0,0,1,0,3,0,23,-30,2,0,-2,-1,0,0.5,-0.07,-1,-1,0.09000000000000002,5,19,-6,-1,0,-5,9,0,-3,1,23,-11,-2,-2,6,-2,0,-0.5
