draw_bet365_probs,date,season,fulltime_result,is_home,team,team_fulltime_goals,team_halftime_goals,team_win_bet365_probs,team_pre_rating,team_possession,team_total_shots,team_shots_on_target,team_shots_off_target,team_blocked,team_passing_percent,team_clear_cut_chances,team_corners,team_offsides,team_tackles_percent,team_aerial_duels,team_saves,team_fouls_committed,team_fouls_won,team_yellow_cards,team_red_cards,team_xg,opponent_fulltime_goals,opponent_halftime_goals,opponent_win_bet365_probs,opponent_pre_rating,opponent_possession,opponent_total_shots,opponent_shots_on_target,opponent_shots_off_target,opponent_blocked,opponent_passing_percent,opponent_clear_cut_chances,opponent_corners,opponent_offsides,opponent_tackles_percent,opponent_aerial_duels,opponent_saves,opponent_fouls_committed,opponent_fouls_won,opponent_yellow_cards,opponent_red_cards,opponent_xg,fd_team_fulltime_goals,fd_team_halftime_goals,fd_team_win_bet365_probs,fd_team_pre_rating,fd_team_possession,fd_team_total_shots,fd_team_shots_on_target,fd_team_shots_off_target,fd_team_blocked,fd_team_passing_percent,fd_team_clear_cut_chances,fd_team_corners,fd_team_offsides,fd_team_tackles_percent,fd_team_aerial_duels,fd_team_saves,fd_team_fouls_committed,fd_team_fouls_won,fd_team_yellow_cards,fd_team_red_cards,fd_team_xg,fd_draw_bet365_probs,fd_opponent_fulltime_goals,fd_opponent_halftime_goals,fd_opponent_win_bet365_probs,fd_opponent_pre_rating,fd_opponent_possession,fd_opponent_total_shots,fd_opponent_shots_on_target,fd_opponent_shots_off_target,fd_opponent_blocked,fd_opponent_passing_percent,fd_opponent_clear_cut_chances,fd_opponent_corners,fd_opponent_offsides,fd_opponent_tackles_percent,fd_opponent_aerial_duels,fd_opponent_saves,fd_opponent_fouls_committed,fd_opponent_fouls_won,fd_opponent_yellow_cards,fd_opponent_red_cards,fd_opponent_xg
0.4,2020-02-22,2019_2020,0,0,Real Madrid,2,0,0.12,2203,65,15,4,9,2,87,1,9,3,47,58,1,10,9,2,0,1.9,1,0,0.48,1930,48,11,2,3,6,77,2,10,1,66,37,4,15,13,1,0,0.7,-2,-2,-0.05,10,11,-2,-3,4,-3,7,-3,6,0,0,-12,-2,-5,-1,0,0,-0.6000000000000001,-0.010000000000000009,-1,-2,0.21000000000000002,10,0,2,-3,1,4,0,0,8,-2,3,-11,0,-3,-1,-1,0,0.5
0.35,2020-02-23,2019_2020,2,0,Granada,2,0,0.45,1928,53,11,5,6,0,74,4,10,2,66,43,3,19,12,2,0,1.3,1,1,0.19,1937,34,6,2,2,2,60,0,0,2,75,38,2,20,14,4,0,0.9,2,0,-0.36,-8,3,1,3,0,-2,5,3,7,2,0,7,1,0,-2,-4,0,1.6,0.07,0,0,-0.04999999999999999,-10,-10,-8,-2,-4,-2,-16,0,-4,2,38,8,0,9,0,2,0,-0.30000000000000004
0.34,2020-02-23,2019_2020,0,0,Villarreal,2,1,0.5,2018,51,14,6,5,3,79,0,5,3,66,63,1,15,13,3,0,0.4,2,2,0.15,2146,36,8,3,4,1,74,1,4,2,54,42,1,16,12,2,0,1.7,1,1,-0.16000000000000003,-1,-14,6,3,1,2,-5,-2,1,0,5,11,1,-7,0,0,0,-0.6000000000000001,0.010000000000000009,1,1,0.17,3,-13,2,0,2,0,0,-1,2,-4,-2,-21,0,0,-5,-2,0,0.6
0.32,2020-02-28,2019_2020,0,0,Real Valladolid,2,0,0.56,1896,64,21,6,10,5,83,1,4,1,50,42,1,10,16,1,0,0.8,3,2,0.12,2061,46,19,7,7,5,83,3,6,1,35,62,1,19,8,1,0,2.0,1,0,-0.08000000000000002,-7,17,15,2,9,4,13,0,-1,0,2,-14,-1,-3,-1,-1,0,0.40000000000000013,0.009999999999999953,1,2,-0.06,8,-17,5,3,3,-1,3,0,2,0,-24,14,-1,12,-6,-1,0,-0.40000000000000013
0.38,2020-02-29,2019_2020,0,0,Levante,1,0,0.41,1945,37,8,2,3,3,76,1,3,0,83,55,8,16,9,1,0,0.7,0,0,0.22,1910,31,12,5,4,3,70,0,5,4,55,41,6,19,8,2,0,2.7,0,0,-0.020000000000000018,-5,-11,-3,0,0,-3,0,-1,-7,-1,16,18,4,1,-4,0,0,-0.8,0.020000000000000018,-1,0,0.25,-7,-30,7,4,2,1,-5,0,0,0,14,-8,3,9,-6,0,0,0.4
0.33,2020-02-29,2019_2020,1,0,Alaves,2,1,0.46,1918,44,4,4,0,0,71,1,2,2,76,54,3,17,12,4,0,0.9,0,0,0.21,1887,57,11,2,6,3,78,0,9,2,65,57,0,17,13,3,0,1.1,2,1,-0.019999999999999962,-11,-9,-6,4,-6,-4,1,0,-3,0,14,-5,-2,2,-2,2,0,0.9,-0.020000000000000018,0,0,0.19999999999999996,-1,22,0,1,0,-1,17,0,5,0,-8,7,-2,2,-6,-2,0,-0.19999999999999996
0.31,2020-03-01,2019_2020,0,0,Osasuna,0,0,0.58,1914,61,14,1,7,6,70,1,6,4,57,48,1,19,10,3,0,1.7,3,1,0.11,2051,50,8,5,3,0,63,4,3,1,46,50,2,17,14,4,0,2.4,-1,-1,-0.25,15,27,8,-1,5,4,9,1,6,2,-17,10,-1,-1,-4,-1,0,0.30000000000000004,0.0,1,0,0.26,-6,-16,-10,-1,-4,-5,-20,1,-6,-3,-30,6,1,0,6,2,0,0.7
0.35,2020-03-07,2019_2020,1,0,Sevilla,3,2,0.45,2055,64,12,5,4,3,80,3,7,1,54,48,2,9,12,2,0,1.7,1,0,0.2,2148,62,5,2,1,2,75,0,4,1,62,47,3,18,19,4,0,2.0,0,1,-0.28,18,13,4,0,1,3,17,-1,4,0,8,-2,0,-8,-2,-2,0,-0.10000000000000009,-0.03999999999999998,-2,-1,0.07,6,21,-12,-7,-1,-4,-6,-3,-2,-1,6,-2,0,4,15,3,0,-0.7999999999999999
0.33,2020-03-08,2019_2020,2,0,Athletic Bilbao,1,0,0.32,1984,43,18,6,6,6,71,0,5,6,77,54,3,11,10,6,0,1.1,0,0,0.35,1892,44,6,1,1,4,72,1,4,4,53,25,3,11,15,1,0,2.1,0,-1,-0.04999999999999999,-10,-12,5,2,1,2,-5,0,-4,4,-22,9,1,-1,-5,2,0,1.8,0.020000000000000018,-2,0,0.26000000000000006,8,-19,-15,-5,-9,-1,-11,0,0,3,3,-17,2,1,-1,0,0,-0.30000000000000004
0.37,2020-03-08,2019_2020,1,0,Granada,0,0,0.41,1955,40,14,0,7,7,67,1,6,3,61,52,2,14,11,3,0,1.2,0,0,0.22,1931,55,11,3,6,2,74,0,6,2,40,45,7,16,13,2,0,0.9,-3,-3,-0.12,23,2,4,-4,2,6,15,-2,3,-5,-9,1,1,3,-7,2,0,-0.30000000000000004,0.0,-1,0,-0.07,15,18,3,1,3,-1,-2,-1,3,2,-43,-10,-1,0,4,1,0,0.0
0.35,2020-03-08,2019_2020,2,0,Leganes,1,0,0.48,1885,55,19,6,7,6,67,1,6,2,54,50,3,18,18,3,0,1.9,0,0,0.17,2004,56,10,3,6,1,78,2,6,0,73,45,5,13,10,6,0,2.1,1,0,-0.27,-7,-2,8,4,1,3,-11,1,-3,0,-10,-7,3,1,5,0,0,0.7000000000000001,-0.010000000000000009,-1,-1,-0.14,-6,-2,0,-1,1,0,-9,2,5,0,16,-4,-1,7,-4,4,0,0.6
0.39,2020-03-08,2019_2020,0,0,Real Madrid,2,0,0.17,2187,44,13,5,7,1,88,1,8,3,52,63,4,13,9,2,0,2.1,1,0,0.44,1954,65,14,5,4,5,88,1,7,0,83,52,3,9,13,3,0,1.3,2,0,0.13,-30,-18,-6,-2,-1,-3,0,-3,1,-2,-14,19,3,3,-6,0,0,-0.7999999999999998,0.0,-2,-2,0.27,-7,-4,-5,-1,-7,3,0,-2,0,-1,19,-11,2,-4,2,1,0,-2.3
0.37,2020-03-10,2019_2020,2,0,Real Sociedad,0,0,0.25,2066,46,9,1,6,2,81,0,4,2,40,45,5,10,9,3,0,1.2,1,0,0.38,1908,66,13,2,4,7,78,1,4,2,37,56,2,16,8,6,0,2.0,-1,0,0.43000000000000005,8,-9,-4,-3,0,-1,3,-4,-4,2,0,-29,4,-5,1,2,0,-1.5,0.03999999999999998,-2,-1,-0.06,14,21,-2,-8,2,4,7,-3,1,-1,-34,1,-1,1,-6,3,0,-1.8000000000000003
0.38,2020-06-11,2019_2020,0,0,Real Betis,2,1,0.44,1968,42,14,3,6,5,76,1,6,1,57,36,3,8,9,1,0,0.5,2,2,0.18,2060,55,12,4,4,4,79,1,4,0,55,50,1,16,13,4,0,1.7,1,1,0.06,-5,-22,0,-2,2,0,-12,0,-1,1,-26,-16,0,-1,-4,-2,0,0.30000000000000004,0.010000000000000009,-1,0,0.34,4,-8,0,-1,0,1,0,-2,-3,-1,1,1,-1,7,1,2,0,-0.7
0.37,2020-06-12,2019_2020,1,0,Levante,1,1,0.46,1929,54,11,3,5,3,75,1,6,3,57,61,6,21,13,3,0,1.4,1,1,0.17,2028,56,6,2,4,0,82,2,3,3,29,29,1,10,9,3,0,1.0,1,1,-0.18999999999999997,-14,-1,0,0,-1,1,1,1,0,1,17,16,-1,5,0,1,0,0.20000000000000007,-0.010000000000000009,-1,1,0.08000000000000002,5,21,-4,-3,1,-2,7,1,-3,-3,-22,-18,-2,-3,0,1,0,-0.30000000000000004
0.4,2020-06-13,2019_2020,2,0,Villarreal,1,1,0.31,1988,64,15,5,9,1,87,3,2,2,50,43,5,10,11,4,0,1.7,0,0,0.29,1912,44,3,2,1,0,68,0,1,2,41,39,6,14,18,5,0,0.2,1,1,-0.18999999999999997,-8,8,5,2,3,0,8,1,-4,2,-23,-1,0,-3,1,-2,0,1.1,-0.020000000000000018,0,0,0.15999999999999998,4,-15,-3,0,-2,-1,-11,0,0,-2,-16,-8,6,3,6,0,0,-0.09999999999999998
0.33,2020-06-14,2019_2020,1,0,Atletico Madrid,2,2,0.25,2167,44,21,3,10,8,76,1,8,2,80,50,2,14,14,2,0,1.3,4,2,0.42,2002,42,10,5,4,1,72,2,1,1,56,50,1,13,9,2,0,0.4,1,2,-0.01999999999999999,-4,-17,16,1,9,6,0,1,4,1,17,2,-1,-4,-5,-2,0,1.1,0.019999999999999962,3,2,0.06,0,0,-8,-1,-2,-5,0,2,-4,-5,-21,-4,-2,2,-1,-4,0,-1.5
0.36,2020-06-14,2019_2020,0,0,Eibar,1,0,0.57,1900,56,14,4,4,6,69,0,3,4,44,37,0,12,7,3,0,0.5,1,1,0.06,2173,57,14,4,8,2,83,0,2,6,71,64,1,11,7,1,0,1.0,0,0,0.22,-16,-9,1,2,0,-1,-9,-1,-1,2,6,-19,-2,-4,-1,-3,0,1.1,0.02999999999999997,-1,1,-0.07999999999999999,14,13,1,-1,1,1,-4,-1,-6,3,18,0,-3,-2,-2,-1,0,1.0
0.37,2020-06-15,2019_2020,1,0,Granada,2,0,0.43,1967,53,10,3,4,3,64,2,2,0,75,42,1,17,15,6,0,1.0,0,0,0.2,1961,54,12,1,5,6,84,0,2,1,61,28,3,16,13,2,0,1.7,1,0,-0.04999999999999999,2,8,0,-4,3,1,-2,-1,-2,-2,-2,4,-1,4,-6,3,0,1.0999999999999999,-0.020000000000000018,-2,-1,0.0,14,11,-2,-2,-1,1,8,-1,-4,0,4,-7,0,8,4,1,0,-0.8
0.38,2020-06-16,2019_2020,0,0,Real Mallorca,0,0,0.49,1801,35,13,3,7,3,83,1,9,2,69,30,3,17,5,1,0,1.6,1,0,0.13,1999,59,16,4,7,5,85,1,8,1,27,51,0,20,5,1,0,1.5,-2,-1,0.08999999999999997,16,1,3,-1,3,1,21,0,6,1,54,-13,2,9,-9,-2,0,0.30000000000000004,0.0,0,-1,0.13999999999999999,-16,-5,1,-1,-2,4,-1,-2,6,-1,-22,7,-5,10,-6,-3,0,-0.40000000000000013
0.35,2020-06-16,2019_2020,0,0,Leganes,1,0,0.6,1887,68,11,2,5,4,78,0,2,1,66,56,0,21,16,2,0,0.8,4,2,0.05,2249,65,12,7,3,2,88,5,3,2,72,70,3,5,17,2,0,1.6,-1,0,-0.21999999999999997,16,32,-1,-5,1,3,0,-1,-3,-1,13,0,-4,10,7,-1,0,-0.5,-0.009999999999999953,3,2,-0.009999999999999995,3,11,-1,1,-3,1,5,3,-1,-1,9,15,2,-7,9,-2,0,0.0
0.35,2020-06-17,2019_2020,1,0,Athletic Bilbao,1,1,0.28,2004,54,10,4,4,2,80,0,5,3,71,56,1,10,8,3,0,1.4,1,0,0.37,1897,43,9,5,3,1,80,1,3,2,54,44,2,12,11,1,0,2.1,-3,-1,0.09999999999999998,18,11,0,-1,0,1,8,-2,4,2,15,6,0,-3,-1,1,0,-0.7000000000000001,0.0,0,0,0.18999999999999995,-8,-12,-5,1,-1,-5,10,1,0,-2,10,7,2,0,4,-2,0,-1.5
0.32,2020-06-17,2019_2020,2,0,Atletico Madrid,1,1,0.18,2165,45,9,2,3,4,75,1,7,2,46,43,3,9,9,0,0,1.7,1,1,0.5,1923,34,8,1,4,3,72,0,7,4,61,49,3,13,4,3,0,1.0,-1,-1,0.04999999999999999,19,0,-12,-1,-7,-4,0,0,-1,0,-33,-6,1,-5,-5,-2,0,-0.7,-0.019999999999999962,0,1,0.18999999999999995,7,-16,-9,-5,-5,1,10,-2,0,-1,15,-9,1,-4,-4,0,0,-1.2999999999999998
0.37,2020-06-19,2019_2020,2,0,Villarreal,1,1,0.28,2002,51,10,4,3,3,81,1,2,2,80,43,4,16,9,3,0,0.5,2,1,0.36,1970,20,8,5,0,3,58,1,2,1,50,31,4,18,12,4,0,1.0,0,1,-0.18,11,-8,-6,0,-4,-2,-3,0,-6,1,52,-7,4,-4,4,2,0,-0.19999999999999996,-0.020000000000000018,0,1,0.07,10,-32,-2,2,-4,0,-6,-1,0,1,-25,-11,3,1,-3,-2,0,-1.2999999999999998
0.4,2020-06-19,2019_2020,1,0,Barcelona,2,1,0.23,2251,75,10,5,5,0,91,1,3,2,57,44,1,16,16,5,0,0.8,1,0,0.38,2066,57,10,4,3,3,88,1,6,1,54,50,3,10,12,1,0,0.8,-2,-1,-0.03,5,10,-2,-2,2,-2,2,-4,0,0,-15,-25,-2,11,-1,3,0,-0.6000000000000001,0.009999999999999953,-1,0,-0.03,7,12,-3,-1,-2,0,9,-1,-5,-1,8,-21,2,-3,-4,1,0,-0.7999999999999999
0.38,2020-06-22,2019_2020,1,0,Sevilla,0,0,0.31,2068,36,8,4,3,1,78,0,2,2,50,40,3,17,8,3,0,0.9,1,1,0.3,2014,49,5,1,2,2,78,1,0,1,63,54,4,15,15,3,0,0.9,-1,0,0.23,-1,-21,-2,0,0,-2,-9,-1,-4,1,-4,-9,0,7,-4,2,0,-0.09999999999999998,0.020000000000000018,0,0,0.15000000000000002,3,-1,-5,-3,-1,-1,-3,0,-2,-1,-16,10,0,-1,6,0,0,-1.0
0.33,2020-06-23,2019_2020,2,0,Atletico Madrid,1,0,0.15,2179,61,15,4,8,3,85,1,10,4,25,65,2,14,12,4,0,0.9,3,1,0.52,1954,53,14,8,4,2,79,2,5,1,33,48,2,10,10,0,0,0.9,-4,-1,-0.09999999999999999,12,9,5,-2,6,1,14,-3,8,-4,-39,17,-1,6,1,1,0,-0.5999999999999999,-0.04999999999999999,2,1,-0.06,1,11,4,4,1,-1,-1,0,0,-2,-23,-1,-1,-2,1,-1,0,0.9999999999999999
0.33,2020-06-24,2019_2020,0,0,Real Mallorca,1,1,0.63,1798,38,7,3,3,1,64,0,3,1,71,50,3,15,10,3,0,0.6,2,0,0.04,2192,48,10,6,4,0,84,0,1,3,52,44,1,15,15,2,0,1.3,1,1,-0.15999999999999998,-3,-10,-8,-2,-5,-1,-15,-2,-3,0,7,-6,0,5,-4,-1,0,-1.2000000000000002,-0.03999999999999998,-1,0,0.07,7,-14,-9,-8,2,-3,-7,-3,-7,2,-22,-12,-1,3,7,2,0,-0.5999999999999999
0.31,2020-06-27,2019_2020,0,0,Real Mallorca,0,0,0.58,1796,44,11,4,5,2,86,0,4,1,73,55,4,12,17,2,0,1.3,0,0,0.12,2008,27,6,0,4,2,67,1,2,0,47,46,3,16,10,1,0,2.6,-1,-1,0.3,0,6,4,1,2,1,21,0,1,0,1,5,1,-3,7,-1,0,0.19999999999999996,-0.010000000000000009,-1,-1,0.37,6,-16,-6,-3,-3,0,-8,-3,-9,-1,-16,-5,-2,0,-1,-3,0,-1.2999999999999998
0.39,2020-06-28,2019_2020,0,0,Real Betis,1,0,0.31,1958,65,12,6,3,3,84,1,6,2,66,72,3,18,18,4,0,2.1,0,0,0.31,1947,56,12,0,5,7,84,1,10,0,66,48,7,12,14,4,0,1.5,1,0,-0.16999999999999998,-6,8,3,1,2,0,2,-1,1,-1,-3,24,1,7,3,4,0,-0.9,0.010000000000000009,-3,-1,0.11000000000000004,19,3,-2,-8,1,5,4,-1,5,-1,33,0,5,2,4,4,0,-0.9999999999999999
0.35,2020-06-28,2019_2020,2,0,Eibar,1,1,0.38,1914,34,14,5,4,5,62,0,10,3,87,48,0,12,7,4,0,1.7,0,0,0.27,1959,40,4,1,2,1,67,0,2,2,77,55,3,17,11,4,0,1.5,0,0,-0.18,6,-11,6,3,-1,4,14,-1,9,-2,47,-4,-1,-3,-9,4,0,0.0,0.06,0,0,0.030000000000000027,-12,-9,-10,-3,-6,-1,-8,-1,-3,2,44,10,3,0,-3,4,0,-0.9
0.37,2020-06-28,2019_2020,2,0,Real Madrid,2,1,0.11,2194,55,14,6,5,3,88,2,5,4,52,45,4,18,10,4,0,2.1,0,0,0.51,1905,34,9,3,3,3,68,1,5,1,64,27,5,18,16,4,0,0.8,0,1,-0.13,9,6,4,0,1,3,3,2,4,1,0,0,3,3,-5,2,0,0.0,-0.08999999999999997,-1,-1,0.17,-19,-11,-1,0,-1,0,-7,1,-3,-1,5,-23,-1,7,6,2,0,0.5000000000000001
0.35,2020-06-29,2019_2020,0,0,Real Sociedad,0,0,0.36,2026,58,13,6,6,1,81,0,8,2,58,59,0,18,14,4,0,0.8,1,1,0.29,2035,53,15,1,8,6,62,0,8,2,66,52,1,19,12,2,0,1.4,-1,0,-0.18999999999999997,-9,7,3,4,1,-2,-3,0,4,0,5,3,-4,2,0,-1,0,0.4,-0.07,0,0,0.10000000000000003,-6,0,6,-1,2,5,9,-2,6,0,11,5,0,1,0,-1,0,-0.10000000000000009
0.36,2020-06-30,2019_2020,0,0,Celta Vigo,2,0,0.27,1942,32,10,6,1,3,76,3,3,2,60,58,0,19,9,3,0,1.4,1,0,0.36,1792,52,14,2,7,5,81,0,8,2,50,43,3,16,17,2,0,1.5,1,-1,0.03999999999999998,16,-8,6,5,-2,3,2,3,0,0,-5,17,-6,4,-9,1,0,0.9999999999999999,0.030000000000000027,1,0,-0.050000000000000044,-2,8,3,-2,2,3,-4,0,4,1,-23,-11,-1,4,0,0,0,0.7000000000000001
0.33,2020-06-30,2019_2020,2,0,Sevilla,1,0,0.2,2062,75,15,3,7,5,87,1,5,2,61,51,4,16,15,3,0,0.6,1,0,0.47,1878,48,21,7,9,5,73,2,4,2,83,51,3,15,12,1,0,0.8,-1,-1,-0.22,1,16,1,-4,4,1,4,0,-3,-1,-9,-5,1,4,1,0,0,0.7999999999999999,-0.08000000000000002,1,0,0.12999999999999995,-1,-10,11,4,2,5,-4,2,0,-1,25,6,2,3,-4,-3,0,0.40000000000000013
0.35,2020-06-30,2019_2020,1,0,Atletico Madrid,2,0,0.47,2188,70,14,4,6,4,87,1,3,1,78,60,1,13,14,3,0,1.9,2,1,0.18,2245,67,18,2,8,8,88,3,8,0,64,41,4,10,18,4,0,1.9,1,-1,-0.06999999999999999,7,26,2,-3,3,2,8,0,-1,-3,13,9,1,-1,3,1,0,0.9,-0.04999999999999999,1,1,0.06999999999999999,2,-5,0,-2,0,2,1,1,1,-2,18,-12,4,0,3,2,0,-0.30000000000000004
0.33,2020-07-01,2019_2020,2,0,Granada,1,0,0.41,1945,57,14,5,6,3,67,2,8,1,50,66,4,8,13,1,0,1.3,1,0,0.26,1895,30,6,2,3,1,65,0,1,0,73,39,2,14,10,2,0,1.1,1,0,-0.12,1,17,10,4,4,2,0,2,6,-1,-27,11,1,-9,2,-3,0,1.4,0.009999999999999953,1,0,0.34,-13,-22,1,2,0,-1,3,-2,-6,-1,30,-24,2,2,-4,0,0,0.09999999999999998
0.37,2020-07-01,2019_2020,1,0,Levante,4,2,0.36,1958,36,9,4,3,2,76,2,2,5,37,71,6,13,12,0,0,0.4,1,1,0.26,1892,24,11,5,3,3,65,1,1,1,50,48,2,17,15,2,0,1.6,4,2,-0.21000000000000002,-7,-20,-3,4,-2,-5,-7,1,-8,5,-29,22,-1,1,-2,-4,0,0.6,0.06,0,0,0.21999999999999997,1,-21,5,3,1,1,9,0,-6,-2,-23,1,2,5,-4,-3,0,-0.9
0.36,2020-07-02,2019_2020,2,0,Osasuna,2,1,0.38,1923,51,6,5,1,0,70,2,2,0,69,49,6,12,13,1,0,0.9,2,1,0.26,1928,42,13,6,5,2,62,4,5,0,70,33,4,13,8,0,0,0.9,1,1,-0.09000000000000002,13,3,-1,4,-3,-2,12,1,-1,-2,13,12,6,-2,1,-2,0,-0.10000000000000009,-0.019999999999999962,1,0,0.07,11,8,-1,1,1,-3,0,4,-5,-3,-16,-15,4,1,1,-4,0,1.1
0.37,2020-07-02,2019_2020,0,0,Espanyol,0,0,0.44,1900,31,8,5,2,1,76,2,1,0,72,56,5,19,13,1,0,0.2,1,0,0.19,2019,59,5,1,3,1,67,2,4,2,72,67,2,11,21,3,0,1.5,0,0,0.13,-6,-3,-1,2,-1,-2,7,1,-4,-1,8,29,0,1,-3,-3,0,-0.30000000000000004,0.0,1,0,0.13999999999999999,-16,1,-8,-5,-3,0,-14,2,-4,0,13,7,2,-7,7,-1,0,0.0
0.32,2020-07-04,2019_2020,0,0,Alaves,0,0,0.37,1878,55,11,5,2,4,73,1,6,0,81,60,2,18,15,3,0,0.4,0,0,0.3,1891,46,15,4,9,2,82,0,8,3,53,58,3,10,11,2,0,0.5,-1,0,-0.38,-2,25,5,3,-1,3,8,1,5,0,8,21,0,4,5,1,0,0.10000000000000009,0.04999999999999999,-1,-1,-0.35,7,21,4,-1,6,-1,17,-1,7,2,3,9,1,-7,-4,0,0,1.0
0.37,2020-07-04,2019_2020,1,0,Valencia,0,0,0.29,1982,51,10,1,9,0,82,1,3,6,77,47,2,9,12,1,0,0.7,2,1,0.34,1962,44,7,4,1,2,62,1,2,2,52,39,5,16,14,2,0,2.3,0,0,-0.08000000000000002,-11,8,6,1,7,-2,-2,1,-1,0,17,-11,0,-9,3,-1,0,0.8,-0.02999999999999997,1,1,0.13999999999999996,-14,-13,-7,-1,-5,-1,-5,-1,-6,1,2,-27,1,8,1,1,0,-0.19999999999999996
0.37,2020-07-05,2019_2020,2,0,Real Madrid,1,0,0.16,2203,67,8,4,2,2,84,2,6,4,72,41,3,15,21,5,0,2.5,2,1,0.47,2031,48,12,4,5,3,79,1,5,1,66,52,1,12,8,0,0,0.3,0,-1,-0.020000000000000004,5,-1,-6,-2,-3,-1,-3,0,1,1,8,-1,-2,2,4,4,0,-0.30000000000000004,-0.03999999999999998,-1,-1,0.25,4,1,0,-2,1,1,-1,-1,4,1,13,-3,0,-5,-6,-1,0,-1.9000000000000001
0.34,2020-07-05,2019_2020,2,0,Leganes,0,0,0.34,1865,41,9,3,5,1,80,1,4,3,66,52,3,23,10,4,0,0.4,1,1,0.32,1896,36,4,3,1,0,74,0,3,2,50,47,2,15,11,1,0,0.8,-1,0,0.06,-6,-6,-12,-4,-4,-4,7,-1,0,1,-16,1,0,8,-2,3,0,-0.8,-0.010000000000000009,1,1,-0.07,-5,5,-4,-2,-1,-1,-2,-2,2,2,-22,-8,-3,-4,-2,0,0,-0.6000000000000001
0.34,2020-07-05,2019_2020,1,0,Getafe,0,0,0.3,2038,32,10,3,5,2,61,0,5,0,50,58,3,22,15,5,0,0.3,2,1,0.36,1942,45,9,6,3,0,57,1,4,2,66,58,4,12,8,1,0,0.6,-2,-1,0.29,7,-7,-1,-1,0,0,8,-1,0,-1,-12,25,3,0,4,-1,0,-0.8999999999999999,-0.019999999999999962,0,0,0.13,6,-6,3,1,2,0,-13,-1,2,2,-2,9,-2,0,-5,0,0,-0.09999999999999998
0.4,2020-07-05,2019_2020,2,0,Barcelona,2,1,0.17,2241,72,12,5,5,2,91,1,3,0,47,48,1,11,13,3,0,2.4,2,2,0.43,2040,53,15,6,7,2,88,4,5,4,47,35,1,16,10,1,0,0.9,0,0,0.03,-6,5,-6,3,-3,-6,3,-2,-5,0,-17,6,-3,1,-5,-1,0,0.3999999999999999,-0.030000000000000027,0,0,0.010000000000000009,11,-3,-2,2,-5,1,0,0,4,3,-35,-6,1,7,-6,1,0,0.2999999999999998
0.39,2020-07-06,2019_2020,1,0,Real Sociedad,2,0,0.28,2023,63,12,4,5,3,83,3,4,4,50,52,2,11,15,2,0,0.8,0,0,0.33,1959,53,8,3,4,1,83,0,3,0,84,41,4,12,9,1,0,1.1,1,0,-0.16999999999999998,-7,3,7,3,2,2,15,1,0,2,-22,-14,0,0,-6,-1,0,0.7,0.020000000000000018,-4,-2,0.04999999999999999,11,16,-1,-1,1,-1,6,-2,1,-5,47,-29,-2,-1,-3,1,0,-1.1
0.31,2020-07-06,2019_2020,0,0,Eibar,0,0,0.58,1909,54,11,4,4,3,66,1,9,2,70,41,4,8,12,1,0,1.5,3,2,0.1,2075,58,11,6,4,1,87,1,2,3,69,47,3,10,23,3,0,1.3,-2,-1,-0.12,14,12,-2,-2,-1,1,4,-3,4,2,0,8,0,-5,4,1,0,-0.7999999999999999,0.010000000000000009,2,2,0.11000000000000001,-7,-16,-4,3,-3,-4,0,0,-3,1,7,-4,-1,-6,8,0,0,-1.1
0.34,2020-07-07,2019_2020,0,0,Real Valladolid,1,0,0.45,1898,53,5,3,1,1,73,1,1,2,40,49,0,13,17,3,0,0.5,2,0,0.21,1984,46,4,3,1,0,70,2,3,1,64,43,2,14,16,2,0,1.1,1,0,0.03999999999999998,-1,6,-10,-1,-8,-1,-8,1,-7,-1,-13,-9,-3,3,6,1,0,-1.1,-0.04999999999999999,2,0,0.0,-19,-5,-6,2,-8,0,-12,1,0,-5,-13,-3,0,5,4,1,0,-0.30000000000000004
0.34,2020-07-07,2019_2020,1,0,Atletico Madrid,3,2,0.21,2194,48,15,3,7,5,84,2,4,2,66,44,1,14,10,2,0,1.2,1,1,0.45,1918,44,5,1,4,0,71,0,2,4,90,38,2,20,17,5,0,0.4,1,1,-0.39999999999999997,4,21,5,0,4,1,8,2,3,0,8,-7,-3,-1,-1,-3,0,0.8000000000000003,-0.04999999999999999,0,1,-0.030000000000000027,-21,-15,-7,-7,2,-2,-14,-1,-9,4,30,-24,0,8,3,2,0,-1.2
0.35,2020-07-09,2019_2020,1,0,Leganes,1,0,0.36,1879,36,4,2,1,1,65,1,3,2,42,47,2,22,14,3,0,0.4,0,0,0.29,1905,37,19,3,10,6,67,0,8,0,66,40,2,16,9,1,0,0.2,1,0,-0.12999999999999995,-13,-5,-5,-1,-4,0,-14,0,-1,-1,-23,-5,-1,-1,4,-1,0,-0.4,0.010000000000000009,0,0,0.31999999999999995,-19,-17,8,-1,6,3,1,-1,-1,-2,-3,-1,-2,8,-3,0,0,0.6
0.31,2020-07-10,2019_2020,0,0,Alaves,0,0,0.63,1871,46,7,0,5,2,69,0,3,2,87,50,2,17,12,2,0,1.2,1,0,0.06,2211,56,10,4,6,0,85,4,2,1,61,32,1,8,13,3,0,2.2,0,0,0.10999999999999999,-17,-8,-4,-5,3,-2,-3,-1,-3,2,6,-9,0,-1,-3,-1,0,-0.7000000000000001,-0.010000000000000009,0,0,0.07,4,-11,2,0,4,-2,0,2,-4,-3,-11,-9,-2,-7,-8,-2,0,0.7
