date,season,fulltime_result,is_home,team,team_fulltime_goals,team_win_bet365_probs,team_pre_rating,team_possession,team_total_shots,team_shots_on_target,team_passing_percent,team_clear_cut_chances,team_corners,team_offsides,team_fouls_committed,team_xg,opponent_fulltime_goals,opponent_win_bet365_probs,opponent_pre_rating,opponent_possession,opponent_total_shots,opponent_shots_on_target,opponent_passing_percent,opponent_clear_cut_chances,opponent_corners,opponent_offsides,opponent_fouls_committed,opponent_xg,fd_team_fulltime_goals,fd_team_win_bet365_probs,fd_team_total_shots,fd_team_shots_on_target,fd_team_shots_off_target,fd_team_clear_cut_chances,fd_team_xg,fd_opponent_fulltime_goals,fd_opponent_win_bet365_probs,fd_opponent_total_shots,fd_opponent_shots_on_target,fd_opponent_shots_off_target,fd_opponent_clear_cut_chances,fd_opponent_xg
2017-09-20,2017_2018,0,0,Alaves,0,0.46,1925,48,16,2,80,0,2,3,12,0.4,1,0.2,1848,38,12,3,75,0,4,4,19,1.7,0,-0.13,11,-1,5,-1,0.19999999999999996,-1,0.13,1,-1,1,-2,-0.5
2017-09-20,2017_2018,1,0,Girona,0,0.41,1807,45,14,0,82,2,8,0,14,1.2,0,0.24,1838,43,5,2,52,0,1,5,20,0.6,0,-0.13,2,-7,6,2,1.2999999999999998,-1,0.21,-6,-5,-3,0,-1.3
2017-09-20,2017_2018,2,0,Real Betis,2,0.6,1866,61,17,7,84,3,6,1,13,1.1,3,0.04,2403,49,18,6,83,4,6,3,15,3.5,1,-0.26,9,4,4,1,1.7000000000000002,2,0.14,0,-4,0,0,-0.30000000000000027
2017-09-20,2017_2018,0,0,Las Palmas,1,0.55,1879,55,12,3,79,1,7,1,12,0.4,1,0.1,2089,54,13,8,84,3,1,3,19,1.4,-2,-0.08999999999999997,2,-5,6,-4,-1.0,-2,0.12,1,2,-2,-2,-1.8
2017-09-21,2017_2018,1,0,Getafe,1,0.45,1849,29,13,4,68,0,3,4,15,0.8,1,0.18,1940,64,11,1,84,2,5,3,14,0.6,-1,0.15999999999999998,3,2,2,-1,0.6,0,0.19999999999999998,-9,-2,-4,-1,-1.6
2017-09-21,2017_2018,0,0,Real Sociedad,1,0.26,2049,50,10,5,84,0,4,0,12,0.7,1,0.37,1875,46,9,2,73,0,1,2,21,1.9,-3,0.16999999999999998,-5,1,-2,-2,-1.5,0,-0.31000000000000005,4,0,1,-1,0.20000000000000007
2017-09-21,2017_2018,1,0,Espanyol,2,0.51,1944,35,9,3,73,1,3,2,12,1.0,3,0.16,2051,52,16,6,84,1,3,3,25,1.5,2,-0.39,0,2,-2,1,0.10000000000000009,0,0.09000000000000002,2,-1,-1,0,0.6000000000000001
2017-09-23,2017_2018,2,0,Real Madrid,0,0.05,2383,60,27,7,86,6,12,0,13,2.4,0,0.66,1916,42,8,3,77,0,2,6,19,0.7,-3,-0.12,9,1,7,2,0.7000000000000002,0,0.10000000000000003,-8,1,-3,0,-0.29999999999999993
2017-09-23,2017_2018,0,0,Sevilla,1,0.54,2092,59,14,9,85,1,12,5,21,0.5,2,0.13,2232,43,16,9,79,4,0,2,12,1.3,0,-0.16,1,1,0,-2,0.19999999999999996,1,0.2,-1,5,-4,2,0.7000000000000002
2017-09-23,2017_2018,2,0,Barcelona,6,0.06,2320,60,11,10,85,3,7,2,4,1.0,0,0.62,1811,41,10,0,63,2,3,2,20,0.7,4,-0.030000000000000006,4,5,0,2,2.0,0,0.03999999999999998,-4,0,-2,0,-0.5
2017-09-23,2017_2018,1,0,Athletic Bilbao,1,0.28,2044,56,12,7,81,1,6,3,12,1.9,0,0.34,1878,50,11,2,83,1,9,0,10,2.2,1,0.09000000000000002,1,2,2,0,0.8,0,-0.12,2,-2,4,1,0.20000000000000007
2017-09-24,2017_2018,2,0,Celta Vigo,1,0.38,1935,66,8,4,82,1,3,5,9,1.2,1,0.25,1947,39,13,4,78,2,8,2,9,1.1,0,-0.18,-3,3,-3,-1,-0.5000000000000001,0,0.35,3,0,2,2,0.8
2017-09-24,2017_2018,0,0,Deportivo La Coruna,1,0.42,1857,57,15,3,80,3,5,2,16,1.6,0,0.21,1949,45,10,3,74,2,5,0,10,2.7,0,-0.25,3,0,4,3,1.2,-2,0.25,1,0,4,1,0.19999999999999996
2017-09-24,2017_2018,0,0,Villarreal,0,0.31,2046,54,14,5,81,2,5,0,17,1.1,1,0.33,1854,33,10,3,65,1,2,5,21,2.3,-3,-0.12000000000000002,-2,-1,3,1,-0.6000000000000001,0,-0.13999999999999996,-3,-1,-4,1,-0.19999999999999996
2017-09-24,2017_2018,2,0,Leganes,0,0.42,1834,58,12,1,72,0,6,6,19,1.6,0,0.23,1876,40,7,0,78,0,0,1,8,0.7,0,-0.19,7,-1,6,0,0.3,-1,0.23000000000000004,-5,-3,-2,-1,-0.6
2017-09-24,2017_2018,2,0,Valencia,5,0.35,1968,49,16,11,82,4,4,2,9,1.8,0,0.26,2028,67,13,3,85,0,6,5,11,1.1,4,-0.14,3,6,-4,2,1.3,-1,-0.20999999999999996,3,-2,4,0,0.19999999999999996
2017-09-25,2017_2018,0,0,Levante,3,0.46,1896,32,13,9,67,1,3,1,13,0.4,1,0.19,1886,40,12,4,82,2,3,4,11,2.2,2,0.0,4,7,1,1,0.9999999999999999,-1,0.42,-5,-3,0,-1,-1.5
2017-09-29,2017_2018,1,0,Girona,0,0.52,1808,39,13,2,77,1,9,4,21,1.4,4,0.15,1960,50,11,6,70,2,4,3,5,2.3,0,0.21000000000000002,3,2,1,-1,-0.5,3,0.2,3,2,0,1,0.6
2017-09-30,2017_2018,0,0,Getafe,4,0.38,1878,39,17,8,67,2,7,6,11,1.3,1,0.25,1848,62,21,6,85,2,6,1,7,2.3,3,-0.12,7,5,5,1,1.4999999999999998,0,0.21999999999999997,6,3,1,-1,-0.09999999999999987
2017-09-30,2017_2018,1,0,Atletico Madrid,2,0.12,2219,38,13,4,78,1,7,2,11,1.1,2,0.59,1855,29,9,3,72,2,2,3,15,0.4,0,-0.12,-3,-5,-1,-3,-0.9000000000000001,2,0.18,-3,2,-4,2,1.0
2017-09-30,2017_2018,2,0,Alaves,1,0.46,1914,32,8,3,74,0,5,2,19,2.2,0,0.19,1882,31,8,1,76,0,3,2,5,1.1,1,0.2,0,0,-1,0,0.29999999999999993,-3,0.09000000000000002,-5,-8,3,-1,-1.5
2017-09-30,2017_2018,0,0,Malaga,3,0.52,1880,46,16,7,78,2,6,1,16,0.4,0,0.09,2090,61,11,0,84,0,6,1,17,2.2,3,-0.22000000000000003,5,5,-1,1,1.4000000000000001,-1,0.44000000000000006,-3,-9,2,-1,-0.8999999999999999
