is_home,team_fulltime_goals,team_win_bet365_probs,team_pre_rating,team_possession,team_total_shots,team_shots_on_target,team_passing_percent,team_clear_cut_chances,team_corners,team_offsides,team_fouls_committed,team_xg,opponent_fulltime_goals,opponent_win_bet365_probs,opponent_pre_rating,opponent_possession,opponent_total_shots,opponent_shots_on_target,opponent_passing_percent,opponent_clear_cut_chances,opponent_corners,opponent_offsides,opponent_fouls_committed,opponent_xg,fd_team_fulltime_goals,fd_team_win_bet365_probs,fd_team_total_shots,fd_team_shots_on_target,fd_team_shots_off_target,fd_team_clear_cut_chances,fd_team_xg,fd_opponent_fulltime_goals,fd_opponent_win_bet365_probs,fd_opponent_total_shots,fd_opponent_shots_on_target,fd_opponent_shots_off_target,fd_opponent_clear_cut_chances,fd_opponent_xg,fulltime_result
0.0,3,0.3,2027,59,12,6,80,3,6,4,15,1.4,3,0.33,1814,35,9,5,71,2,6,2,17,2.4,3,-0.12,6,5,1,1,1.4,3,-0.09999999999999998,-4,3,-4,1,0.7,2
0.0,3,0.35,1954,64,16,9,85,2,5,1,9,1.8,0,0.27,1854,52,11,1,85,1,3,0,11,2.1,-1,-0.23,5,3,3,0,1.0999999999999999,0,0.45000000000000007,3,-2,6,0,0.0,2
0.0,1,0.36,1868,31,8,3,67,0,4,3,23,0.8,0,0.27,1869,41,13,3,68,1,4,0,13,0.5,0,0.20999999999999996,-2,0,0,-1,-0.30000000000000004,0,0.29,0,3,0,0,-0.20000000000000007,1
0.0,1,0.38,2016,41,13,2,68,1,6,1,18,0.7,2,0.27,1881,45,19,9,67,3,2,2,21,1.1,-1,-0.15000000000000002,-3,-4,-3,-4,-1.0000000000000002,2,-0.19999999999999996,12,6,6,3,1.8000000000000003,0
0.0,0,0.66,1909,55,12,3,77,0,10,5,9,0.3,2,0.03,2392,69,16,6,84,2,7,5,8,1.4,0,-0.22,3,2,-1,0,0.19999999999999996,0,0.05,-7,-2,-4,-3,-0.7999999999999998,0
0.0,2,0.11,2335,65,12,4,89,2,4,2,10,2.7,0,0.54,2005,61,7,1,77,1,3,2,16,1.1,1,-0.24000000000000002,-3,-3,0,0,0.5,-1,0.09000000000000002,-6,-1,0,0,-0.5,2
0.0,1,0.44,1883,51,5,1,72,1,3,1,18,1.0,0,0.2,1897,41,9,2,81,0,2,5,7,1.6,1,-0.20999999999999996,-8,-2,-6,0,-0.4,0,0.44000000000000006,-3,-1,2,0,-0.3,1
0.0,2,0.38,1907,68,12,5,90,2,6,1,18,0.4,1,0.24,1956,38,4,1,73,1,1,1,15,0.9,-1,-0.14999999999999997,-1,-1,0,0,-1.8,1,0.23999999999999996,-17,-5,-8,-1,-1.9,0
0.0,1,0.39,1823,60,15,6,82,2,9,5,9,1.7,0,0.22,1853,49,16,5,83,0,6,1,9,0.6,1,-0.18999999999999997,7,4,0,1,1.7999999999999998,-2,0.28,-8,-6,-2,-3,-1.2000000000000002,2
0.0,2,0.41,1871,44,10,5,70,2,8,6,19,0.8,0,0.22,1901,60,9,4,84,0,3,0,17,1.3,1,-0.07999999999999996,1,0,0,1,1.4000000000000001,-2,0.24,-3,-1,-5,-2,-0.4,1
0.0,2,0.58,2055,61,9,5,81,1,5,4,16,0.6,2,0.06,2330,60,17,5,82,2,4,5,12,2.1,2,-0.26999999999999996,-8,0,-3,1,0.8999999999999999,0,0.08,5,1,0,0,0.8000000000000003,0
0.0,1,0.53,1898,38,10,1,62,0,6,0,19,1.2,2,0.12,2042,55,7,2,78,0,4,1,18,2.2,0,0.26,-6,-3,-2,-2,0.09999999999999987,-2,-0.04999999999999999,-11,-6,-2,-3,-1.2000000000000002,0
0.0,0,0.38,2003,39,17,5,78,2,6,6,15,0.9,1,0.23,1966,64,10,2,84,2,1,4,12,1.0,0,0.16000000000000003,10,4,3,1,0.40000000000000013,1,-0.18,-9,-6,-2,2,0.09999999999999987,0
0.0,1,0.57,1833,62,13,5,86,1,8,2,11,0.2,1,0.03,2347,61,14,6,84,1,7,4,11,2.2,1,-0.33000000000000007,-3,0,-2,1,-0.30000000000000004,-2,0.04000000000000001,-1,-1,0,-2,0.10000000000000009,0
0.0,3,0.27,2021,51,10,6,80,3,3,5,10,1.4,2,0.33,1837,51,10,5,80,3,2,2,16,1.2,2,-0.19,-5,2,-2,1,1.2,0,-0.21000000000000008,-5,1,-3,1,-0.7000000000000002,1
