Div,Date,HomeTeam,AwayTeam,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Time
primera,1999-10-16,Ath Bilbao,Valencia,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-10-16,La Coruna,Malaga,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-10-16,Numancia,Barcelona,0.0,1.0,A,,,,,,,,,,,,,
primera,1999-10-16,Real Madrid,Oviedo,2.0,1.0,H,,,,,,,,,,,,,
primera,1999-10-16,Santander,Celta,3.0,0.0,H,,,,,,,,,,,,,
primera,1999-10-17,Alaves,Vallecano,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-10-17,Betis,Ath Madrid,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-10-17,Espanol,Sociedad,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-10-17,Valladolid,Sevilla,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-10-17,Zaragoza,Mallorca,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-10-23,Barcelona,Ath Bilbao,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-10-23,Sevilla,Real Madrid,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-10-23,Valencia,La Coruna,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-10-24,Ath Madrid,Valladolid,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-10-24,Celta,Espanol,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-10-24,Mallorca,Malaga,2.0,0.0,H,,,,,,,,,,,,,
primera,1999-10-24,Oviedo,Numancia,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-10-24,Sociedad,Alaves,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-10-24,Vallecano,Betis,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-10-24,Zaragoza,Santander,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-10-30,La Coruna,Barcelona,2.0,0.0,H,,,,,,,,,,,,,
primera,1999-10-30,Malaga,Valencia,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-10-30,Real Madrid,Ath Madrid,1.0,3.0,A,,,,,,,,,,,,,
primera,1999-10-31,Alaves,Celta,0.0,0.0,D,,,,,,,,,,,,,
