Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
2,Mon,2021-08-23,22:00 (21:00),Osasuna,2.0,0–0,0.1,Celta Vigo,7189,Estadio El Sadar,Alberola Rojas,Match Report,
,,,,,,,,,,,,,
3,Fri,2021-08-27,20:00 (19:00),Mallorca,1.0,1–0,0.4,Espanyol,7529,Iberostar Estadi,Isidro Díaz de Mera,Match Report,
3,Fri,2021-08-27,22:15 (21:15),Valencia,1.6,3–0,0.4,Alavés,10627,Estadio de Mestalla,Miguel Ángel Ortiz Arias,Match Report,
3,Sat,2021-08-28,17:00 (16:00),Celta Vigo,1.1,0–1,1.4,Athletic Club,5492,Estadio de Balaídos,Antonio Matéu Lahoz,Match Report,
3,Sat,2021-08-28,19:30 (18:30),Real Sociedad,1.0,1–0,0.4,Levante,7758,Estadio Municipal de Anoeta,José Luis Munuera,Match Report,
3,Sat,2021-08-28,19:30 (18:30),Elche,0.5,1–1,1.3,Sevilla,10385,Estadio Manuel Martínez Valero,Valentín Pizarro,Match Report,
3,Sat,2021-08-28,22:00 (21:00),Betis,0.6,0–1,0.9,Real Madrid,22590,Estadio Benito Villamarín,Alejandro Hernández,Match Report,
3,Sun,2021-08-29,17:00 (16:00),Barcelona,1.1,2–1,0.4,Getafe,26543,Camp Nou,Pablo González,Match Report,
3,Sun,2021-08-29,19:30 (18:30),Rayo Vallecano,2.2,4–0,0.5,Granada,583,Estadio del Rayo Vallecano,Jesús Gil,Match Report,
3,Sun,2021-08-29,19:30 (18:30),Cádiz,1.6,2–3,2.4,Osasuna,7452,Estadio Nuevo Mirandilla,Adrián Cordero,Match Report,
3,Sun,2021-08-29,22:00 (21:00),Atlético Madrid,1.7,2–2,0.3,Villarreal,26840,Estadio Wanda Metropolitano,César Soto,Match Report,
,,,,,,,,,,,,,
4,Sat,2021-09-11,18:30 (17:30),Levante,1.0,1–1,2.2,Rayo Vallecano,12974,Estadio Ciudad de Valencia,Alberola Rojas,Match Report,
4,Sat,2021-09-11,21:00 (20:00),Athletic Club,1.4,2–0,0.2,Mallorca,14566,San Mamés,Jorge Figueroa,Match Report,
4,Sun,2021-09-12,14:00 (13:00),Espanyol,0.4,1–2,0.8,Atlético Madrid,15321,RCDE Stadium,Juan Martínez,Match Report,
4,Sun,2021-09-12,16:15 (15:15),Osasuna,0.6,1–4,0.9,Valencia,13940,Estadio El Sadar,Ricardo de Burgos,Match Report,
4,Sun,2021-09-12,18:30 (17:30),Cádiz,0.3,0–2,1.9,Real Sociedad,11826,Estadio Nuevo Mirandilla,Alejandro Muñíz,Match Report,
4,Sun,2021-09-12,21:00 (20:00),Real Madrid,3.2,5–2,1.8,Celta Vigo,19874,Estadio Santiago Bernabéu,José Sánchez,Match Report,
4,Mon,2021-09-13,20:00 (19:00),Getafe,0.3,0–1,0.8,Elche,6853,Coliseum Alfonso Pérez,Mario Melero,Match Report,
4,Mon,2021-09-13,22:00 (21:00),Granada,0.6,1–2,2.3,Betis,10201,Estadio Nuevo Los Cármenes,Guillermo Cuadra,Match Report,
,,,,,,,,,,,,,
5,Fri,2021-09-17,21:00 (20:00),Celta Vigo,1.0,1–2,1.1,Cádiz,6754,Estadio de Balaídos,Isidro Díaz de Mera,Match Report,
5,Sat,2021-09-18,14:00 (13:00),Rayo Vallecano,2.2,3–0,1.1,Getafe,3280,Estadio del Rayo Vallecano,Adrián Cordero,Match Report,
5,Sat,2021-09-18,16:15 (15:15),Atlético Madrid,0.9,0–0,1.0,Athletic Club,38798,Estadio Wanda Metropolitano,Jesús Gil,Match Report,
5,Sat,2021-09-18,18:30 (17:30),Elche,0.4,1–1,1.1,Levante,11507,Estadio Manuel Martínez Valero,Miguel Ángel Ortiz Arias,Match Report,
5,Sat,2021-09-18,21:00 (20:00),Alavés,0.5,0–2,1.4,Osasuna,8176,Estadio de Mendizorroza,Alejandro Hernández,Match Report,
5,Sun,2021-09-19,14:00 (13:00),Mallorca,0.5,0–0,1.4,Villarreal,9168,Iberostar Estadi,Carlos del Cerro,Match Report,
5,Sun,2021-09-19,16:15 (15:15),Real Sociedad,1.3,0–0,0.5,Sevilla,23757,Estadio Municipal de Anoeta,Antonio Matéu Lahoz,Match Report,
5,Sun,2021-09-19,18:30 (17:30),Betis,1.9,2–2,1.1,Espanyol,30189,Estadio Benito Villamarín,César Soto,Match Report,
5,Sun,2021-09-19,21:00 (20:00),Valencia,0.9,1–2,1.3,Real Madrid,26689,Estadio de Mestalla,Pablo González,Match Report,
5,Mon,2021-09-20,21:00 (20:00),Barcelona,1.8,1–1,0.8,Granada,27097,Camp Nou,Santiago Jaime,Match Report,
,,,,,,,,,,,,,
6,Tue,2021-09-21,19:30 (18:30),Getafe,0.3,1–2,1.1,Atlético Madrid,8950,Coliseum Alfonso Pérez,Guillermo Cuadra,Match Report,
6,Tue,2021-09-21,22:00 (21:00),Levante,1.7,0–2,0.7,Celta Vigo,11989,Estadio Ciudad de Valencia,Jorge Figueroa,Match Report,
6,Tue,2021-09-21,22:00 (21:00),Athletic Club,0.9,1–2,1.0,Rayo Vallecano,16236,San Mamés,José Luis Munuera,Match Report,
6,Wed,2021-09-22,19:30 (18:30),Sevilla,1.0,3–1,0.4,Valencia,23654,Estadio Ramón Sánchez Pizjuán,José Sánchez,Match Report,
6,Wed,2021-09-22,19:30 (18:30),Espanyol,1.7,1–0,0.5,Alavés,14254,RCDE Stadium,Mario Melero,Match Report,
6,Wed,2021-09-22,22:00 (21:00),Real Madrid,2.6,6–1,1.4,Mallorca,20113,Estadio Santiago Bernabéu,Alberola Rojas,Match Report,
6,Wed,2021-09-22,22:00 (21:00),Villarreal,3.2,4–1,1.2,Elche,8234,Estadio de la Cerámica,Alejandro Muñíz,Match Report,
6,Thu,2021-09-23,19:30 (18:30),Osasuna,1.0,1–3,2.4,Betis,13758,Estadio El Sadar,Juan Martínez,Match Report,
6,Thu,2021-09-23,19:30 (18:30),Granada,1.3,2–3,1.7,Real Sociedad,9552,Estadio Nuevo Los Cármenes,Valentín Pizarro,Match Report,
6,Thu,2021-09-23,22:00 (21:00),Cádiz,1.3,0–0,0.4,Barcelona,12180,Estadio Nuevo Mirandilla,Carlos del Cerro,Match Report,
,,,,,,,,,,,,,
7,Sat,2021-09-25,14:00 (13:00),Alavés,0.7,1–0,0.7,Atlético Madrid,9836,Estadio de Mendizorroza,Antonio Matéu Lahoz,Match Report,
7,Sat,2021-09-25,16:15 (15:15),Valencia,0.9,1–1,0.8,Athletic Club,13680,Estadio de Mestalla,Alejandro Hernández,Match Report,
7,Sat,2021-09-25,18:30 (17:30),Sevilla,1.8,2–0,0.7,Espanyol,23956,Estadio Ramón Sánchez Pizjuán,Pablo González,Match Report,
7,Sat,2021-09-25,21:00 (20:00),Real Madrid,1.1,0–0,0.5,Villarreal,23985,Estadio Santiago Bernabéu,Jesús Gil,Match Report,
7,Sun,2021-09-26,14:00 (13:00),Mallorca,2.6,2–3,0.9,Osasuna,9359,Iberostar Estadi,Miguel Ángel Ortiz Arias,Match Report,
7,Sun,2021-09-26,16:15 (15:15),Barcelona,2.9,3–0,0.8,Levante,35334,Camp Nou,Isidro Díaz de Mera,Match Report,
7,Sun,2021-09-26,18:30 (17:30),Rayo Vallecano,1.3,3–1,1.0,Cádiz,5903,Estadio del Rayo Vallecano,Ricardo de Burgos,Match Report,
7,Sun,2021-09-26,18:30 (17:30),Real Sociedad,2.4,1–0,0.5,Elche,23941,Estadio Municipal de Anoeta,Adrián Cordero,Match Report,
7,Sun,2021-09-26,21:00 (20:00),Betis,1.9,2–0,0.6,Getafe,29825,Estadio Benito Villamarín,Santiago Jaime,Match Report,
7,Mon,2021-09-27,21:00 (20:00),Celta Vigo,1.3,1–0,0.8,Granada,6375,Estadio de Balaídos,César Soto,Match Report,
,,,,,,,,,,,,,
8,Fri,2021-10-01,21:00 (20:00),Athletic Club,2.0,1–0,0.9,Alavés,28665,San Mamés,Carlos del Cerro,Match Report,
8,Sat,2021-10-02,14:00 (13:00),Osasuna,0.5,1–0,0.2,Rayo Vallecano,19238,Estadio El Sadar,Mario Melero,Match Report,
8,Sat,2021-10-02,16:15 (15:15),Mallorca,0.6,1–0,1.2,Levante,11803,Iberostar Estadi,Alejandro Muñíz,Match Report,
8,Sat,2021-10-02,18:30 (17:30),Cádiz,0.2,0–0,1.1,Valencia,14794,Estadio Nuevo Mirandilla,Valentín Pizarro,Match Report,
8,Sat,2021-10-02,21:00 (20:00),Atlético Madrid,1.2,2–0,0.7,Barcelona,60594,Estadio Wanda Metropolitano,César Soto,Match Report,
8,Sun,2021-10-03,14:00 (13:00),Elche,1.3,1–0,0.5,Celta Vigo,11299,Estadio Manuel Martínez Valero,José Luis Munuera,Match Report,
8,Sun,2021-10-03,16:15 (15:15),Espanyol,1.2,2–1,1.6,Real Madrid,23377,RCDE Stadium,Guillermo Cuadra,Match Report,
8,Sun,2021-10-03,18:30 (17:30),Getafe,0.7,1–1,0.7,Real Sociedad,8463,Coliseum Alfonso Pérez,Jorge Figueroa,Match Report,
8,Sun,2021-10-03,18:30 (17:30),Villarreal,2.6,2–0,0.5,Betis,16719,Estadio de la Cerámica,José Sánchez,Match Report,
8,Sun,2021-10-03,21:00 (20:00),Granada,0.1,1–0,1.3,Sevilla,12334,Estadio Nuevo Los Cármenes,Alberola Rojas,Match Report,
,,,,,,,,,,,,,
9,Sat,2021-10-16,18:30 (17:30),Levante,0.9,0–0,0.6,Getafe,14551,Estadio Ciudad de Valencia,Mario Melero,Match Report,
9,Sat,2021-10-16,21:00 (20:00),Real Sociedad,0.4,1–0,0.2,Mallorca,30831,Estadio Municipal de Anoeta,Pablo González,Match Report,
9,Sun,2021-10-17,14:00 (13:00),Rayo Vallecano,1.2,2–1,0.4,Elche,6989,Estadio del Rayo Vallecano,Santiago Jaime,Match Report,
9,Sun,2021-10-17,16:15 (15:15),Celta Vigo,1.2,0–1,1.0,Sevilla,10774,Estadio de Balaídos,Ricardo de Burgos,Match Report,
9,Sun,2021-10-17,18:30 (17:30),Villarreal,0.5,1–2,0.6,Osasuna,14831,Estadio de la Cerámica,Adrián Cordero,Match Report,
9,Sun,2021-10-17,21:00 (20:00),Barcelona,1.9,3–1,0.4,Valencia,47317,Camp Nou,Jesús Gil,Match Report,
9,Mon,2021-10-18,19:00 (18:00),Alavés,0.9,0–1,1.4,Betis,10227,Estadio de Mendizorroza,Miguel Ángel Ortiz Arias,Match Report,
9,Mon,2021-10-18,21:00 (20:00),Espanyol,1.3,2–0,0.4,Cádiz,15678,RCDE Stadium,Antonio Matéu Lahoz,Match Report,
,,,,,,,,,,,,,
10,Fri,2021-10-22,21:00 (20:00),Osasuna,1.0,1–1,0.5,Granada,21128,Estadio El Sadar,Alejandro Muñíz,Match Report,
