date,home,away,venue,attendance,home_possiosson,away_possiosson,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_blocked,away_blocked,home_passing_percent,away_passing_percent,home_clear_cut_chances,away_clear_cut_chances,home_corners,away_corners,home_offsides,away_offsides,home_tackles_percent,away_tackles_percent,home_aerial_duels,away_aerial_duels,home_saves,away_saves,home_fouls_committed,away_fouls_committed,home_fouls_won,away_fouls_won,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
Sunday 16th May,Getafe,Levante,Coliseum Alfonso Perez.,,33.6,66.4,9,4,3,1,5,3,1,0,62.8,79.5,0,1,3,4,1,1,68.8,43.8,48.6,51.4,0,1,15,11,11,15,5,0,1,0
Sunday 16th May,Real Betis,SD Huesca,Benito Villamarin.,,47.5,52.5,10,7,2,0,3,4,5,3,78.3,76.7,0,0,2,5,5,3,44.4,50.0,45.9,54.1,0,1,15,19,18,15,1,5,0,1
Sunday 16th May,Real Sociedad,Real Valladolid,Reale Seguros Stadium.,,54.2,45.8,14,19,9,5,3,8,2,6,86.4,84.7,1,0,2,4,2,4,46.7,50.0,69.6,30.4,4,5,16,11,11,16,2,4,0,1
Sunday 16th May,Valencia,Eibar,Mestalla,2689.0,42.6,57.4,9,20,5,8,4,6,0,6,80.7,88.8,3,3,2,10,1,2,80.0,71.4,60.0,40.0,7,1,5,7,6,5,0,0,0,0
Sunday 16th May,Villarreal,Sevilla,Estadio de la Ceramica,4800.0,42.3,57.7,12,17,5,5,2,5,5,7,87.3,90.9,1,4,3,6,2,3,75.0,63.6,46.7,53.3,5,1,9,7,7,9,0,1,0,1
Thursday 13th May,Real Valladolid,Villarreal,Jose Zorrilla.,,39.1,60.9,11,9,2,3,7,2,2,4,72.9,79.4,1,0,3,6,2,1,53.8,54.5,45.2,54.8,1,2,15,14,13,15,3,1,0,0
Thursday 13th May,Eibar,Real Betis,Estadio Municipal de Ipura.,,64.4,35.6,14,9,4,4,8,3,2,2,79.6,60.4,1,1,5,4,1,0,58.3,57.1,61.4,38.6,3,3,12,8,8,11,3,1,0,0
Thursday 13th May,Granada,Real Madrid,Estadio Los Carmenes.,,35.1,64.9,10,16,5,7,2,6,3,3,76.1,88.5,0,0,2,3,1,1,43.8,46.2,38.1,61.9,3,4,15,9,9,14,3,3,0,0
Wednesday 12th May,Sevilla,Valencia,Ramon Sanchez Pizjuan.,,61.1,38.9,10,6,4,2,4,3,2,1,90.3,83.2,1,0,3,6,2,0,60.0,75.0,68.8,31.3,2,3,17,6,6,17,2,2,0,0
Wednesday 12th May,Celta Vigo,Getafe,Balaidos.,,61.3,38.7,4,13,1,4,1,5,2,4,78.3,67.8,0,0,1,5,2,3,57.1,62.5,44.0,56.0,4,0,16,18,16,16,1,3,0,0
Wednesday 12th May,SD Huesca,Athletic Bilbao,El Alcoraz.,,50.9,49.1,18,4,6,3,9,1,3,0,81.1,75.4,2,1,5,0,2,1,70.0,47.1,30.0,70.0,3,5,9,14,14,9,0,1,0,0
Wednesday 12th May,Atletico Madrid,Real Sociedad,Wanda Metropolitano.,,34.7,65.3,12,14,4,7,7,3,1,4,78.7,88.6,4,2,1,7,1,0,66.7,50.0,42.1,57.9,6,2,11,15,10,10,0,0,0,0
Tuesday 11th May,Osasuna,Cadiz,El Sadar.,,63.9,36.1,14,10,4,4,6,4,4,2,80.7,65.2,2,1,3,5,1,0,44.4,41.7,48.1,51.9,2,1,15,12,10,15,2,2,0,0
Tuesday 11th May,Elche,Alaves,Martinez Valero.,,67.1,32.9,11,9,4,2,5,6,2,1,85.9,73.8,1,1,7,5,0,3,75.0,44.4,45.2,54.8,0,3,21,15,14,21,2,4,0,0
Tuesday 11th May,Levante,Barcelona,Ciutat de Valencia.,,39.2,60.8,16,17,6,5,4,8,6,4,84.8,88.4,1,5,8,6,1,1,66.7,64.3,53.8,46.2,2,3,12,4,4,11,2,2,0,0
Monday 10th May,Real Betis,Granada,Benito Villamarin.,,61.8,38.2,14,11,5,5,4,4,5,2,85.4,66.9,2,2,9,2,4,4,33.3,78.9,56.7,43.3,5,3,16,11,8,14,2,4,0,0
Sunday 9th May,Getafe,Eibar,Coliseum Alfonso Perez.,,39.2,60.8,10,7,2,3,7,3,1,1,52.0,68.2,1,0,4,2,3,5,50.0,63.6,38.1,61.9,2,2,11,11,9,10,1,2,0,0
Sunday 9th May,Valencia,Real Valladolid,Mestalla.,,40.8,59.2,6,19,3,2,2,11,1,6,83.7,86.6,2,1,1,9,2,3,75.0,66.7,46.2,53.8,2,0,17,6,6,17,0,0,0,0
Sunday 9th May,Villarreal,Celta Vigo,Estadio de la Ceramica.,,59.8,40.2,16,11,7,6,6,5,3,0,86.7,74.1,3,0,5,3,3,2,40.0,62.5,56.0,44.0,2,5,11,16,15,11,4,1,2,1
Sunday 9th May,Real Madrid,Sevilla,Alfredo Di Stefano.,,58.5,41.5,17,7,7,3,9,3,1,1,90.6,85.0,1,0,7,3,1,0,56.3,33.3,27.3,72.7,1,5,8,8,8,7,1,2,0,0
Saturday 8th May,Alaves,Levante,Mendizorroza.,,53.5,46.5,15,6,5,3,5,2,5,1,75.1,75.1,0,2,8,3,3,1,63.6,57.1,67.9,32.1,1,3,12,18,18,11,2,1,0,0
Saturday 8th May,Barcelona,Atletico Madrid,Camp Nou.,,59.0,41.0,12,11,7,6,4,2,1,3,91.1,85.6,0,0,5,7,3,3,47.4,59.1,52.9,47.1,6,7,13,26,24,11,3,3,0,0
Saturday 8th May,Cadiz,SD Huesca,Ramon de Carranza.,,33.1,66.9,11,13,1,5,10,7,0,1,71.3,87.0,0,0,3,3,2,1,40.0,62.5,59.5,40.5,4,0,14,13,13,14,4,0,0,0
Saturday 8th May,Athletic Bilbao,Osasuna,San Mames.,,45.4,54.6,13,13,3,4,9,5,1,4,74.9,78.8,3,2,10,4,2,1,87.5,63.6,50.0,50.0,2,1,4,10,10,3,1,2,0,0
Friday 7th May,Real Sociedad,Elche,Reale Seguros Stadium.,,73.5,26.5,16,1,3,0,11,1,2,0,88.7,63.3,5,0,7,0,2,0,50.0,54.5,67.9,32.1,0,1,8,11,11,8,1,3,0,1
Monday 3rd May,Sevilla,Athletic Bilbao,Ramon Sanchez Pizjuan.,,73.8,26.2,18,8,3,2,11,4,4,2,89.8,71.1,0,1,7,2,2,4,66.7,52.9,50.0,50.0,1,3,13,15,14,13,1,0,0,0
Sunday 2nd May,Real Valladolid,Real Betis,Jose Zorrilla.,,44.4,55.6,10,11,2,4,5,4,3,3,78.4,84.2,1,3,3,2,3,3,88.9,48.0,34.5,65.5,3,1,7,14,13,7,2,4,0,0
Sunday 2nd May,Villarreal,Getafe,Estadio de la Ceramica.,,66.6,33.4,4,15,3,3,0,9,1,3,80.0,60.3,0,0,4,4,2,3,50.0,59.1,41.7,58.3,3,2,13,17,17,13,1,2,0,0
Sunday 2nd May,Granada,Cadiz,Estadio Los Carmenes.,,64.9,35.1,9,8,2,4,4,2,3,2,71.4,56.9,0,4,6,5,5,3,69.2,29.4,47.1,52.9,3,2,12,10,10,12,5,2,1,0
Sunday 2nd May,Valencia,Barcelona,Mestalla.,,32.0,68.0,9,14,4,7,3,5,2,2,81.0,90.0,2,3,2,1,3,1,70.0,50.0,36.8,63.2,3,2,12,14,14,10,2,1,0,0
Saturday 1st May,Eibar,Alaves,Estadio Municipal de Ipura.,,44.7,55.3,15,6,4,2,5,4,6,0,63.4,71.3,2,0,10,5,2,0,61.1,38.5,49.2,50.8,2,1,12,12,11,12,0,2,0,0
Saturday 1st May,Elche,Atletico Madrid,Martinez Valero.,,50.6,49.4,6,11,1,4,4,3,1,4,83.3,81.5,1,1,3,2,0,4,66.7,61.9,40.0,60.0,3,1,20,16,13,17,3,3,0,0
Saturday 1st May,SD Huesca,Real Sociedad,El Alcoraz.,,46.6,53.4,10,7,3,3,4,2,3,2,72.9,77.6,0,0,2,7,4,5,70.0,71.4,60.0,40.0,3,3,14,11,9,13,2,2,0,0
Saturday 1st May,Real Madrid,Osasuna,Alfredo Di Stefano.,,65.5,34.5,22,3,6,2,11,1,5,0,89.1,74.8,4,0,8,0,2,1,37.5,27.8,65.2,34.8,2,4,9,12,12,8,0,2,0,0
Friday 30th April,Celta Vigo,Levante,Balaidos.,,54.1,45.9,8,10,5,2,3,6,0,2,75.9,71.8,5,2,1,5,4,1,58.8,70.0,34.6,65.4,2,3,12,13,13,11,2,2,0,0
Thursday 29th April,Barcelona,Granada,Camp Nou.,,81.7,18.3,16,5,4,2,4,2,8,1,91.1,64.5,2,1,6,1,2,1,62.5,33.3,60.9,39.1,0,3,10,22,21,9,0,4,0,0
Wednesday 28th April,Athletic Bilbao,Real Valladolid,San Mames.,,50.7,49.3,13,14,7,4,5,6,1,4,79.2,79.2,2,0,5,7,1,1,55.6,87.5,50.0,50.0,2,5,8,13,12,8,1,1,0,0
Monday 26th April,Eibar,Real Sociedad,Estadio Municipal de Ipura.,,53.3,46.7,14,5,5,2,2,1,7,2,75.3,70.8,0,2,2,3,3,1,42.9,62.5,60.9,39.1,1,5,8,20,19,8,5,1,0,0
Sunday 25th April,SD Huesca,Getafe,El Alcoraz.,,69.3,30.7,8,6,1,4,7,2,0,0,83.7,61.5,1,0,1,0,3,4,61.9,72.0,51.1,48.9,2,1,16,22,19,16,2,4,0,0
Sunday 25th April,Villarreal,Barcelona,Estadio de la Ceramica.,,43.6,56.4,10,15,4,5,5,6,1,4,83.2,89.5,1,4,6,1,1,6,38.9,70.0,25.0,75.0,3,3,16,10,10,14,2,3,1,0
Sunday 25th April,Celta Vigo,Osasuna,Balaidos.,,49.4,50.6,7,12,2,3,2,6,3,3,68.2,65.7,1,0,2,8,3,2,52.2,62.5,42.2,57.8,2,0,13,12,12,12,1,4,0,0
Sunday 25th April,Sevilla,Granada,Ramon Sanchez Pizjuan.,,64.5,35.5,10,4,4,2,5,0,1,2,81.8,67.8,0,0,5,5,0,1,47.4,57.1,65.3,34.7,1,2,11,14,13,10,2,3,0,0
Sunday 25th April,Athletic Bilbao,Atletico Madrid,San Mames.,,37.9,62.1,11,14,3,3,5,8,3,3,77.1,85.6,1,0,4,11,1,2,60.0,41.7,51.7,48.3,2,1,20,7,7,18,4,2,0,0
Saturday 24th April,Elche,Levante,Martinez Valero.,,34.1,65.9,8,6,3,1,4,4,1,1,76.9,86.1,0,0,4,2,6,0,68.8,47.8,60.0,40.0,1,2,10,14,14,9,3,4,0,0
Saturday 24th April,Real Valladolid,Cadiz,Jose Zorrilla.,,61.2,38.8,13,6,6,2,5,3,2,1,78.7,71.8,2,0,5,7,1,0,66.7,46.7,43.6,56.4,1,5,11,20,19,11,1,3,0,0
Saturday 24th April,Valencia,Alaves,Mestalla.,,53.8,46.2,9,6,2,2,4,3,3,1,81.9,74.8,0,2,7,2,2,3,80.0,66.7,40.7,59.3,1,1,17,15,14,17,4,0,0,1
Saturday 24th April,Real Madrid,Real Betis,Alfredo Di Stefano.,,57.7,42.3,17,6,5,2,7,4,5,0,89.2,84.1,0,2,8,2,2,2,75.0,57.1,45.8,54.2,2,5,17,13,13,17,1,2,0,0
Thursday 22nd April,Atletico Madrid,SD Huesca,Wanda Metropolitano.,,52.8,47.2,17,5,12,2,3,3,2,0,88.9,88.5,3,1,8,1,0,1,54.5,50.0,55.0,45.0,2,10,9,11,10,8,2,0,0,0
Thursday 22nd April,Granada,Eibar,Estadio Los Carmenes.,,33.1,66.9,8,16,4,3,4,11,0,2,65.0,81.6,3,2,4,7,3,1,60.0,64.3,50.0,50.0,2,0,13,10,9,12,1,1,0,0
Thursday 22nd April,Real Sociedad,Celta Vigo,Reale Seguros Stadium.,,40.7,59.3,7,10,3,3,2,5,2,2,71.6,77.5,1,0,2,4,1,3,88.9,48.0,48.1,51.9,2,1,17,17,16,16,4,5,0,0
Thursday 22nd April,Barcelona,Getafe,Camp Nou.,,80.5,19.5,9,5,6,1,3,4,0,0,90.9,66.2,1,1,3,1,1,1,45.5,61.5,57.6,42.4,0,2,8,15,15,8,2,0,0,0
Wednesday 21st April,Levante,Sevilla,Ciutat de Valencia.,,42.6,57.4,6,10,1,3,2,4,3,3,77.9,85.3,0,1,2,3,1,3,55.6,53.3,48.1,51.9,2,1,15,13,11,14,4,1,0,0
Wednesday 21st April,Osasuna,Valencia,El Sadar.,,44.5,55.5,18,10,9,5,6,5,3,0,74.9,79.9,1,1,5,6,3,1,57.1,57.1,44.8,55.2,4,6,17,11,9,17,1,2,0,0
Wednesday 21st April,Real Betis,Athletic Bilbao,Benito Villamarin.,,40.1,59.9,6,16,2,4,3,8,1,4,79.0,87.0,0,0,5,4,4,3,50.0,70.0,40.0,60.0,4,2,10,16,15,10,3,2,1,0
Wednesday 21st April,Alaves,Villarreal,Mendizorroza.,,32.5,67.5,9,10,4,5,5,2,0,3,74.3,88.0,2,1,3,8,1,2,70.0,78.6,65.2,34.8,3,2,8,11,11,8,2,1,0,0
Wednesday 21st April,Elche,Real Valladolid,Martinez Valero.,,45.2,54.8,9,12,3,4,3,4,3,4,78.8,77.3,2,1,4,6,2,1,68.8,90.0,47.5,52.5,3,2,23,11,10,22,5,3,0,0
Wednesday 21st April,Cadiz,Real Madrid,Ramon de Carranza.,,38.7,61.3,13,14,3,4,7,8,3,2,78.1,86.8,0,4,7,3,1,2,42.9,69.2,50.0,50.0,1,3,13,20,19,13,4,3,0,0
Sunday 18th April,Osasuna,Elche,El Sadar.,,48.4,51.6,9,8,3,2,6,3,0,3,76.6,80.9,0,0,4,5,0,0,60.0,68.8,63.2,36.8,2,2,14,15,14,13,2,1,0,0
Sunday 18th April,Real Sociedad,Sevilla,Reale Seguros Stadium.,,48.7,51.3,5,15,2,7,1,6,2,2,77.5,80.4,0,4,7,3,0,2,84.6,53.8,54.3,45.7,4,1,20,15,14,19,3,2,0,0
Sunday 18th April,Alaves,SD Huesca,Mendizorroza.,,51.4,48.6,10,9,2,1,5,6,3,2,82.6,80.4,0,1,7,3,2,4,72.7,25.0,52.2,47.8,1,1,15,13,11,12,1,2,0,0
Sunday 18th April,Atletico Madrid,Eibar,Wanda Metropolitano.,,61.4,38.6,10,0,7,0,3,0,0,0,87.1,76.5,4,0,8,3,2,0,64.3,60.0,42.3,57.7,0,2,10,10,9,9,0,1,0,0
Sunday 18th April,Cadiz,Celta Vigo,Ramon de Carranza.,,23.0,77.0,5,11,2,4,3,7,0,0,61.0,89.2,0,0,4,7,0,4,66.7,45.5,54.8,45.2,4,2,6,13,13,5,0,1,0,0
Sunday 18th April,Real Betis,Valencia,Benito Villamarin.,,56.1,43.9,9,9,5,3,3,4,1,2,86.3,84.4,1,1,6,3,2,4,50.0,81.8,35.7,64.3,1,3,12,10,10,11,3,1,0,0
Sunday 18th April,Getafe,Real Madrid,Coliseum Alfonso Perez.,,41.4,58.6,19,10,6,2,8,5,5,3,73.4,83.3,1,0,7,6,1,4,50.0,53.8,47.6,52.4,1,6,17,8,7,14,3,1,0,0
